x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2016	01	24	02	29
x	FR	2007	12	18	17	05
x	LR	2016	01	24	05	51
x	E7	2016	01	24	02	29
x	SR	544674
x	S7	1487
x	NC	230784
x	C7	0
x	FL	277114
x	F7	336
x	RR	178
x	R7	0
x	NH	47900
x	H7	313
x	BT	15458668513
x	B7	43589294
1	Rr	4806	0.882	2016
1	Rr	80796	14.834	2015
1	Rr	110773	20.337	2014
1	Rr	65173	11.966	2013
1	Rr	60742	11.152	2012
1	Rr	57015	10.468	2011
1	Rr	22139	4.065	2010
1	Rr	69710	12.798	2009
1	Rr	71820	13.186	2008
1	Rr	1700	0.312	2007
1	*BT	R	110773	2014
Q	Rr	4806	0.882	2016	1
Q	Rr	16575	3.043	2015	4
Q	Rr	22104	4.058	2015	3
Q	Rr	22485	4.128	2015	2
Q	Rr	19632	3.604	2015	1
Q	Rr	21142	3.882	2014	4
Q	Rr	22272	4.089	2014	3
Q	Rr	31453	5.775	2014	2
Q	Rr	35906	6.592	2014	1
Q	Rr	16436	3.018	2013	4
Q	Rr	15216	2.794	2013	3
Q	Rr	16545	3.038	2013	2
Q	Rr	16976	3.117	2013	1
Q	Rr	16578	3.044	2012	4
Q	Rr	12511	2.297	2012	3
Q	Rr	15816	2.904	2012	2
Q	Rr	15837	2.908	2012	1
Q	Rr	15444	2.835	2011	4
Q	Rr	17386	3.192	2011	3
Q	Rr	9395	1.725	2011	2
Q	Rr	14790	2.715	2011	1
Q	Rr	1603	0.294	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	2.579	2010	2
Q	Rr	6489	1.191	2010	1
Q	Rr	16350	3.002	2009	4
Q	Rr	18220	3.345	2009	3
Q	Rr	17115	3.142	2009	2
Q	Rr	18025	3.309	2009	1
Q	Rr	15905	2.920	2008	4
Q	Rr	15660	2.875	2008	3
Q	Rr	22448	4.121	2008	2
Q	Rr	17807	3.269	2008	1
Q	Rr	1700	0.312	2007	4
Q	*BT	R	35906	2014	1
m	Rr	4806	0.882	2016	01
m	Rr	5574	1.023	2015	12
m	Rr	5330	0.979	2015	11
m	Rr	5671	1.041	2015	10
m	Rr	6196	1.138	2015	09
m	Rr	6788	1.246	2015	08
m	Rr	9120	1.674	2015	07
m	Rr	7156	1.314	2015	06
m	Rr	5694	1.045	2015	05
m	Rr	9635	1.769	2015	04
m	Rr	6215	1.141	2015	03
m	Rr	6084	1.117	2015	02
m	Rr	7333	1.346	2015	01
m	Rr	6608	1.213	2014	12
m	Rr	6997	1.285	2014	11
m	Rr	7537	1.384	2014	10
m	Rr	7043	1.293	2014	09
m	Rr	7324	1.345	2014	08
m	Rr	7905	1.451	2014	07
m	Rr	11654	2.140	2014	06
m	Rr	9211	1.691	2014	05
m	Rr	10588	1.944	2014	04
m	Rr	7817	1.435	2014	03
m	Rr	15229	2.796	2014	02
m	Rr	12860	2.361	2014	01
m	Rr	5325	0.978	2013	12
m	Rr	5513	1.012	2013	11
m	Rr	5598	1.028	2013	10
m	Rr	4655	0.855	2013	09
m	Rr	4938	0.907	2013	08
m	Rr	5623	1.032	2013	07
m	Rr	5492	1.008	2013	06
m	Rr	5211	0.957	2013	05
m	Rr	5842	1.073	2013	04
m	Rr	6068	1.114	2013	03
m	Rr	5055	0.928	2013	02
m	Rr	5853	1.075	2013	01
m	Rr	5688	1.044	2012	12
