x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2024	01	21	01	59
x	FR	2007	12	18	17	05
x	LR	2024	01	20	05	56
x	E7	2024	01	21	01	59
x	SR	1638982
x	S7	7218
x	NC	585729
x	C7	0
x	FL	610452
x	F7	1663
x	RR	248
x	R7	0
x	NH	108791
x	H7	482
x	BT	57520368399
x	B7	0
1	Rr	34776	2.122	2024
1	Rr	511208	31.191	2023
1	Rr	82334	5.023	2022
1	Rr	98917	6.035	2021
1	Rr	89380	5.453	2020
1	Rr	80088	4.886	2019
1	Rr	68927	4.205	2018
1	Rr	60168	3.671	2017
1	Rr	73316	4.473	2016
1	Rr	80796	4.930	2015
1	Rr	110773	6.759	2014
1	Rr	65173	3.976	2013
1	Rr	60742	3.706	2012
1	Rr	57015	3.479	2011
1	Rr	22139	1.351	2010
1	Rr	69710	4.253	2009
1	Rr	71820	4.382	2008
1	Rr	1700	0.104	2007
1	*BT	R	511208	2023
Q	Rr	34776	2.122	2024	1
Q	Rr	182268	11.121	2023	4
Q	Rr	165939	10.125	2023	3
Q	Rr	135306	8.255	2023	2
Q	Rr	27695	1.690	2023	1
Q	Rr	20307	1.239	2022	4
Q	Rr	20362	1.242	2022	3
Q	Rr	21795	1.330	2022	2
Q	Rr	19870	1.212	2022	1
Q	Rr	21154	1.291	2021	4
Q	Rr	26826	1.637	2021	3
Q	Rr	30675	1.872	2021	2
Q	Rr	20262	1.236	2021	1
Q	Rr	22199	1.354	2020	4
Q	Rr	23882	1.457	2020	3
Q	Rr	21656	1.321	2020	2
Q	Rr	21643	1.321	2020	1
Q	Rr	19098	1.165	2019	4
Q	Rr	19668	1.200	2019	3
Q	Rr	19827	1.210	2019	2
Q	Rr	21495	1.311	2019	1
Q	Rr	18129	1.106	2018	4
Q	Rr	17138	1.046	2018	3
Q	Rr	16928	1.033	2018	2
Q	Rr	16732	1.021	2018	1
Q	Rr	15937	0.972	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	1.027	2017	2
Q	Rr	27400	1.672	2017	1
Q	Rr	22114	1.349	2016	4
Q	Rr	17621	1.075	2016	3
Q	Rr	15878	0.969	2016	2
Q	Rr	17703	1.080	2016	1
Q	Rr	16575	1.011	2015	4
Q	Rr	22104	1.349	2015	3
Q	Rr	22485	1.372	2015	2
Q	Rr	19632	1.198	2015	1
Q	Rr	21142	1.290	2014	4
Q	Rr	22272	1.359	2014	3
Q	Rr	31453	1.919	2014	2
Q	Rr	35906	2.191	2014	1
Q	Rr	16436	1.003	2013	4
Q	Rr	15216	0.928	2013	3
Q	Rr	16545	1.009	2013	2
Q	Rr	16976	1.036	2013	1
Q	Rr	16578	1.011	2012	4
Q	Rr	12511	0.763	2012	3
Q	Rr	15816	0.965	2012	2
Q	Rr	15837	0.966	2012	1
Q	Rr	15444	0.942	2011	4
Q	Rr	17386	1.061	2011	3
Q	Rr	9395	0.573	2011	2
Q	Rr	14790	0.902	2011	1
Q	Rr	1603	0.098	2010	4
