x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2022	01	23	05	51
x	FR	2007	12	18	17	05
x	LR	2022	01	21	23	44
x	E7	2022	01	23	05	51
x	SR	1015327
x	S7	1334
x	NC	401169
x	C7	0
x	FL	414660
x	F7	319
x	RR	183
x	R7	0
x	NH	90032
x	H7	244
x	BT	40139183982
x	B7	116403837
1	Rr	4663	0.459	2022
1	Rr	98917	9.742	2021
1	Rr	89380	8.803	2020
1	Rr	80088	7.888	2019
1	Rr	68927	6.789	2018
1	Rr	60168	5.926	2017
1	Rr	73316	7.221	2016
1	Rr	80796	7.958	2015
1	Rr	110773	10.910	2014
1	Rr	65173	6.419	2013
1	Rr	60742	5.983	2012
1	Rr	57015	5.615	2011
1	Rr	22139	2.180	2010
1	Rr	69710	6.866	2009
1	Rr	71820	7.074	2008
1	Rr	1700	0.167	2007
1	*BT	R	110773	2014
Q	Rr	4663	0.459	2022	1
Q	Rr	21154	2.083	2021	4
Q	Rr	26826	2.642	2021	3
Q	Rr	30675	3.021	2021	2
Q	Rr	20262	1.996	2021	1
Q	Rr	22199	2.186	2020	4
Q	Rr	23882	2.352	2020	3
Q	Rr	21656	2.133	2020	2
Q	Rr	21643	2.132	2020	1
Q	Rr	19098	1.881	2019	4
Q	Rr	19668	1.937	2019	3
Q	Rr	19827	1.953	2019	2
Q	Rr	21495	2.117	2019	1
Q	Rr	18129	1.786	2018	4
Q	Rr	17138	1.688	2018	3
Q	Rr	16928	1.667	2018	2
Q	Rr	16732	1.648	2018	1
Q	Rr	15937	1.570	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	1.658	2017	2
Q	Rr	27400	2.699	2017	1
Q	Rr	22114	2.178	2016	4
Q	Rr	17621	1.735	2016	3
Q	Rr	15878	1.564	2016	2
Q	Rr	17703	1.744	2016	1
Q	Rr	16575	1.632	2015	4
Q	Rr	22104	2.177	2015	3
Q	Rr	22485	2.215	2015	2
Q	Rr	19632	1.934	2015	1
Q	Rr	21142	2.082	2014	4
Q	Rr	22272	2.194	2014	3
Q	Rr	31453	3.098	2014	2
Q	Rr	35906	3.536	2014	1
Q	Rr	16436	1.619	2013	4
Q	Rr	15216	1.499	2013	3
Q	Rr	16545	1.630	2013	2
Q	Rr	16976	1.672	2013	1
Q	Rr	16578	1.633	2012	4
Q	Rr	12511	1.232	2012	3
Q	Rr	15816	1.558	2012	2
Q	Rr	15837	1.560	2012	1
Q	Rr	15444	1.521	2011	4
Q	Rr	17386	1.712	2011	3
Q	Rr	9395	0.925	2011	2
Q	Rr	14790	1.457	2011	1
Q	Rr	1603	0.158	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	1.383	2010	2
Q	Rr	6489	0.639	2010	1
Q	Rr	16350	1.610	2009	4
Q	Rr	18220	1.794	2009	3
Q	Rr	17115	1.686	2009	2
Q	Rr	18025	1.775	2009	1
Q	Rr	15905	1.566	2008	4
Q	Rr	15660	1.542	2008	3
Q	Rr	22448	2.211	2008	2
Q	Rr	17807	1.754	2008	1
Q	Rr	1700	0.167	2007	4
Q	*BT	R	35906	2014	1
m	Rr	4663	0.459	2022	01
m	Rr	7667	0.755	2021	12
m	Rr	7097	0.699	2021	11
m	Rr	6390	0.629	2021	10
m	Rr	6059	0.597	2021	09
m	Rr	9092	0.895	2021	08
m	Rr	11675	1.150	2021	07
m	Rr	10152	1.000	2021	06
m	Rr	10231	1.008	2021	05
m	Rr	10292	1.014	2021	04
m	Rr	7948	0.783	2021	03
m	Rr	5800	0.571	2021	02
m	Rr	6514	0.642	2021	01
m	Rr	8069	0.795	2020	12
m	Rr	6579	0.648	2020	11
m	Rr	7551	0.744	2020	10
m	Rr	8028	0.791	2020	09
m	Rr	7741	0.762	2020	08
m	Rr	8113	0.799	2020	07
m	Rr	7317	0.721	2020	06
m	Rr	6898	0.679	2020	05
m	Rr	7441	0.733	2020	04
m	Rr	7524	0.741	2020	03
m	Rr	7322	0.721	2020	02
m	Rr	6797	0.669	2020	01
m	Rr	6573	0.647	2019	12
m	Rr	5917	0.583	2019	11
m	Rr	6608	0.651	2019	10
m	Rr	6791	0.669	2019	09
m	Rr	6597	0.650	2019	08
m	Rr	6280	0.619	2019	07
m	Rr	6317	0.622	2019	06
m	Rr	6847	0.674	2019	05
m	Rr	6663	0.656	2019	04
m	Rr	7059	0.695	2019	03
m	Rr	6374	0.628	2019	02
m	Rr	8062	0.794	2019	01
m	Rr	6957	0.685	2018	12
m	Rr	5422	0.534	2018	11
m	Rr	5750	0.566	2018	10
m	Rr	5458	0.538	2018	09
m	Rr	5735	0.565	2018	08
m	Rr	5945	0.586	2018	07
m	Rr	7110	0.700	2018	06
m	Rr	6440	0.634	2018	05
m	Rr	3378	0.333	2018	04
m	Rr	5789	0.570	2018	03
m	Rr	5369	0.529	2018	02
m	Rr	5574	0.549	2018	01
m	Rr	3906	0.385	2017	12
m	Rr	6533	0.643	2017	11
m	Rr	5498	0.542	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.673	2017	05
m	Rr	9999	0.985	2017	04
m	Rr	11887	1.171	2017	03
m	Rr	7941	0.782	2017	02
m	Rr	7572	0.746	2017	01
m	Rr	9483	0.934	2016	12
m	Rr	7121	0.701	2016	11
m	Rr	5510	0.543	2016	10
m	Rr	6288	0.619	2016	09
m	Rr	5888	0.580	2016	08
m	Rr	5445	0.536	2016	07
m	Rr	5042	0.497	2016	06
m	Rr	5495	0.541	2016	05
m	Rr	5341	0.526	2016	04
m	Rr	5558	0.547	2016	03
m	Rr	5548	0.546	2016	02
m	Rr	6597	0.650	2016	01
m	Rr	5574	0.549	2015	12
m	Rr	5330	0.525	2015	11
m	Rr	5671	0.559	2015	10
m	Rr	6196	0.610	2015	09
m	Rr	6788	0.669	2015	08
m	Rr	9120	0.898	2015	07
m	Rr	7156	0.705	2015	06
m	Rr	5694	0.561	2015	05
m	Rr	9635	0.949	2015	04
m	Rr	6215	0.612	2015	03
m	Rr	6084	0.599	2015	02
m	Rr	7333	0.722	2015	01
m	Rr	6608	0.651	2014	12
m	Rr	6997	0.689	2014	11
m	Rr	7537	0.742	2014	10
m	Rr	7043	0.694	2014	09
m	Rr	7324	0.721	2014	08
m	Rr	7905	0.779	2014	07
m	Rr	11654	1.148	2014	06
m	Rr	9211	0.907	2014	05
m	Rr	10588	1.043	2014	04
m	Rr	7817	0.770	2014	03
m	Rr	15229	1.500	2014	02
m	Rr	12860	1.267	2014	01
m	Rr	5325	0.524	2013	12
m	Rr	5513	0.543	2013	11
m	Rr	5598	0.551	2013	10
m	Rr	4655	0.458	2013	09
m	Rr	4938	0.486	2013	08
m	Rr	5623	0.554	2013	07
m	Rr	5492	0.541	2013	06
m	Rr	5211	0.513	2013	05
m	Rr	5842	0.575	2013	04
m	Rr	6068	0.598	2013	03
m	Rr	5055	0.498	2013	02
m	Rr	5853	0.576	2013	01
m	Rr	5688	0.560	2012	12
m	Rr	5477	0.539	2012	11
m	Rr	5413	0.533	2012	10
m	Rr	4331	0.427	2012	09
m	Rr	3866	0.381	2012	08
m	Rr	4314	0.425	2012	07
m	Rr	4655	0.458	2012	06
m	Rr	6047	0.596	2012	05
m	Rr	5114	0.504	2012	04
m	Rr	6128	0.604	2012	03
m	Rr	5430	0.535	2012	02
m	Rr	4279	0.421	2012	01
m	Rr	5548	0.546	2011	12
m	Rr	4779	0.471	2011	11
m	Rr	5117	0.504	2011	10
m	Rr	5431	0.535	2011	09
m	Rr	6256	0.616	2011	08
m	Rr	5699	0.561	2011	07
m	Rr	5420	0.534	2011	06
m	Rr	3975	0.391	2011	05
m	Rr	0	0.000	2011	04
m	Rr	3608	0.355	2011	03
m	Rr	5171	0.509	2011	02
m	Rr	6011	0.592	2011	01
m	Rr	1603	0.158	2010	12
m	Rr	0	0.000	2010	11
m	Rr	0	0.000	2010	10
m	Rr	0	0.000	2010	09
m	Rr	0	0.000	2010	08
m	Rr	0	0.000	2010	07
m	Rr	4101	0.404	2010	06
m	Rr	5018	0.494	2010	05
m	Rr	4928	0.485	2010	04
m	Rr	5095	0.502	2010	03
m	Rr	1394	0.137	2010	02
m	Rr	0	0.000	2010	01
m	Rr	4665	0.459	2009	12
m	Rr	6187	0.609	2009	11
m	Rr	5498	0.542	2009	10
m	Rr	5066	0.499	2009	09
m	Rr	5718	0.563	2009	08
m	Rr	7436	0.732	2009	07
m	Rr	5685	0.560	2009	06
m	Rr	6120	0.603	2009	05
m	Rr	5310	0.523	2009	04
