x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2025	01	23	01	57
x	FR	2007	12	18	17	05
x	LR	2025	01	22	05	59
x	E7	2025	01	23	01	57
x	SR	2484693
x	S7	7700
x	NC	780408
x	C7	0
x	FL	1169551
x	F7	637
x	RR	289
x	R7	0
x	NH	122045
x	H7	467
x	BT	57520368399
x	B7	0
1	Rr	44120	1.776	2025
1	Rr	836367	33.661	2024
1	Rr	511208	20.574	2023
1	Rr	82334	3.314	2022
1	Rr	98917	3.981	2021
1	Rr	89380	3.597	2020
1	Rr	80088	3.223	2019
1	Rr	68927	2.774	2018
1	Rr	60168	2.422	2017
1	Rr	73316	2.951	2016
1	Rr	80796	3.252	2015
1	Rr	110773	4.458	2014
1	Rr	65173	2.623	2013
1	Rr	60742	2.445	2012
1	Rr	57015	2.295	2011
1	Rr	22139	0.891	2010
1	Rr	69710	2.806	2009
1	Rr	71820	2.890	2008
1	Rr	1700	0.068	2007
1	*BT	R	836367	2024
Q	Rr	44120	1.776	2025	1
Q	Rr	202145	8.136	2024	4
Q	Rr	220334	8.868	2024	3
Q	Rr	204456	8.229	2024	2
Q	Rr	209432	8.429	2024	1
Q	Rr	182268	7.336	2023	4
Q	Rr	165939	6.678	2023	3
Q	Rr	135306	5.446	2023	2
Q	Rr	27695	1.115	2023	1
Q	Rr	20307	0.817	2022	4
Q	Rr	20362	0.819	2022	3
Q	Rr	21795	0.877	2022	2
Q	Rr	19870	0.800	2022	1
Q	Rr	21154	0.851	2021	4
Q	Rr	26826	1.080	2021	3
Q	Rr	30675	1.235	2021	2
Q	Rr	20262	0.815	2021	1
Q	Rr	22199	0.893	2020	4
Q	Rr	23882	0.961	2020	3
Q	Rr	21656	0.872	2020	2
Q	Rr	21643	0.871	2020	1
Q	Rr	19098	0.769	2019	4
Q	Rr	19668	0.792	2019	3
Q	Rr	19827	0.798	2019	2
Q	Rr	21495	0.865	2019	1
Q	Rr	18129	0.730	2018	4
Q	Rr	17138	0.690	2018	3
Q	Rr	16928	0.681	2018	2
Q	Rr	16732	0.673	2018	1
Q	Rr	15937	0.641	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	0.677	2017	2
Q	Rr	27400	1.103	2017	1
Q	Rr	22114	0.890	2016	4
Q	Rr	17621	0.709	2016	3
Q	Rr	15878	0.639	2016	2
Q	Rr	17703	0.712	2016	1
Q	Rr	16575	0.667	2015	4
Q	Rr	22104	0.890	2015	3
Q	Rr	22485	0.905	2015	2
Q	Rr	19632	0.790	2015	1
Q	Rr	21142	0.851	2014	4
Q	Rr	22272	0.896	2014	3
Q	Rr	31453	1.266	2014	2
Q	Rr	35906	1.445	2014	1
Q	Rr	16436	0.661	2013	4
Q	Rr	15216	0.612	2013	3
Q	Rr	16545	0.666	2013	2
Q	Rr	16976	0.683	2013	1
Q	Rr	16578	0.667	2012	4
Q	Rr	12511	0.504	2012	3
Q	Rr	15816	0.637	2012	2
Q	Rr	15837	0.637	2012	1
Q	Rr	15444	0.622	2011	4
Q	Rr	17386	0.700	2011	3
Q	Rr	9395	0.378	2011	2
Q	Rr	14790	0.595	2011	1
Q	Rr	1603	0.065	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	0.565	2010	2
Q	Rr	6489	0.261	2010	1
Q	Rr	16350	0.658	2009	4
Q	Rr	18220	0.733	2009	3
Q	Rr	17115	0.689	2009	2
Q	Rr	18025	0.725	2009	1
Q	Rr	15905	0.640	2008	4
Q	Rr	15660	0.630	2008	3
Q	Rr	22448	0.903	2008	2
Q	Rr	17807	0.717	2008	1
Q	Rr	1700	0.068	2007	4
Q	*BT	R	220334	2024	3
m	Rr	44120	1.776	2025	01
m	Rr	57890	2.330	2024	12
m	Rr	63975	2.575	2024	11
m	Rr	80280	3.231	2024	10
m	Rr	73644	2.964	2024	09
m	Rr	72041	2.899	2024	08
m	Rr	74649	3.004	2024	07
m	Rr	69378	2.792	2024	06
