x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2016	05	22	02	29
x	FR	2007	12	18	17	05
x	LR	2016	05	22	05	56
x	E7	2016	05	22	02	29
x	SR	566447
x	S7	1179
x	NC	242229
x	C7	0
x	FL	283052
x	F7	270
x	RR	178
x	R7	0
x	NH	50188
x	H7	299
x	BT	16093765717
x	B7	35275863
1	Rr	26579	4.692	2016
1	Rr	80796	14.264	2015
1	Rr	110773	19.556	2014
1	Rr	65173	11.506	2013
1	Rr	60742	10.723	2012
1	Rr	57015	10.065	2011
1	Rr	22139	3.908	2010
1	Rr	69710	12.307	2009
1	Rr	71820	12.679	2008
1	Rr	1700	0.300	2007
1	*BT	R	110773	2014
Q	Rr	8876	1.567	2016	2
Q	Rr	17703	3.125	2016	1
Q	Rr	16575	2.926	2015	4
Q	Rr	22104	3.902	2015	3
Q	Rr	22485	3.969	2015	2
Q	Rr	19632	3.466	2015	1
Q	Rr	21142	3.732	2014	4
Q	Rr	22272	3.932	2014	3
Q	Rr	31453	5.553	2014	2
Q	Rr	35906	6.339	2014	1
Q	Rr	16436	2.902	2013	4
Q	Rr	15216	2.686	2013	3
Q	Rr	16545	2.921	2013	2
Q	Rr	16976	2.997	2013	1
Q	Rr	16578	2.927	2012	4
Q	Rr	12511	2.209	2012	3
Q	Rr	15816	2.792	2012	2
Q	Rr	15837	2.796	2012	1
Q	Rr	15444	2.726	2011	4
Q	Rr	17386	3.069	2011	3
Q	Rr	9395	1.659	2011	2
Q	Rr	14790	2.611	2011	1
Q	Rr	1603	0.283	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	2.480	2010	2
Q	Rr	6489	1.146	2010	1
Q	Rr	16350	2.886	2009	4
Q	Rr	18220	3.217	2009	3
Q	Rr	17115	3.021	2009	2
Q	Rr	18025	3.182	2009	1
Q	Rr	15905	2.808	2008	4
Q	Rr	15660	2.765	2008	3
Q	Rr	22448	3.963	2008	2
Q	Rr	17807	3.144	2008	1
Q	Rr	1700	0.300	2007	4
Q	*BT	R	35906	2014	1
m	Rr	3535	0.624	2016	05
m	Rr	5341	0.943	2016	04
m	Rr	5558	0.981	2016	03
m	Rr	5548	0.979	2016	02
m	Rr	6597	1.165	2016	01
m	Rr	5574	0.984	2015	12
m	Rr	5330	0.941	2015	11
m	Rr	5671	1.001	2015	10
m	Rr	6196	1.094	2015	09
m	Rr	6788	1.198	2015	08
m	Rr	9120	1.610	2015	07
m	Rr	7156	1.263	2015	06
m	Rr	5694	1.005	2015	05
m	Rr	9635	1.701	2015	04
m	Rr	6215	1.097	2015	03
m	Rr	6084	1.074	2015	02
m	Rr	7333	1.295	2015	01
m	Rr	6608	1.167	2014	12
m	Rr	6997	1.235	2014	11
m	Rr	7537	1.331	2014	10
m	Rr	7043	1.243	2014	09
m	Rr	7324	1.293	2014	08
m	Rr	7905	1.396	2014	07
m	Rr	11654	2.057	2014	06
m	Rr	9211	1.626	2014	05
m	Rr	10588	1.869	2014	04
m	Rr	7817	1.380	2014	03
m	Rr	15229	2.689	2014	02
m	Rr	12860	2.270	2014	01
m	Rr	5325	0.940	2013	12
m	Rr	5513	0.973	2013	11
m	Rr	5598	0.988	2013	10
m	Rr	4655	0.822	2013	09
m	Rr	4938	0.872	2013	08
m	Rr	5623	0.993	2013	07
m	Rr	5492	0.970	2013	06
