x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2021	10	10	05	46
x	FR	2007	12	18	17	05
x	LR	2021	10	08	23	52
x	E7	2021	10	10	05	46
x	SR	991319
x	S7	1558
x	NC	392337
x	C7	0
x	FL	408158
x	F7	650
x	RR	183
x	R7	0
x	NH	87589
x	H7	317
x	BT	37943529608
x	B7	120769615
1	Rr	79572	8.027	2021
1	Rr	89380	9.016	2020
1	Rr	80088	8.079	2019
1	Rr	68927	6.953	2018
1	Rr	60168	6.069	2017
1	Rr	73316	7.396	2016
1	Rr	80796	8.150	2015
1	Rr	110773	11.174	2014
1	Rr	65173	6.574	2013
1	Rr	60742	6.127	2012
1	Rr	57015	5.751	2011
1	Rr	22139	2.233	2010
1	Rr	69710	7.032	2009
1	Rr	71820	7.245	2008
1	Rr	1700	0.171	2007
1	*BT	R	110773	2014
Q	Rr	1809	0.182	2021	4
Q	Rr	26826	2.706	2021	3
Q	Rr	30675	3.094	2021	2
Q	Rr	20262	2.044	2021	1
Q	Rr	22199	2.239	2020	4
Q	Rr	23882	2.409	2020	3
Q	Rr	21656	2.185	2020	2
Q	Rr	21643	2.183	2020	1
Q	Rr	19098	1.927	2019	4
Q	Rr	19668	1.984	2019	3
Q	Rr	19827	2.000	2019	2
Q	Rr	21495	2.168	2019	1
Q	Rr	18129	1.829	2018	4
Q	Rr	17138	1.729	2018	3
Q	Rr	16928	1.708	2018	2
Q	Rr	16732	1.688	2018	1
Q	Rr	15937	1.608	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	1.698	2017	2
Q	Rr	27400	2.764	2017	1
Q	Rr	22114	2.231	2016	4
Q	Rr	17621	1.778	2016	3
Q	Rr	15878	1.602	2016	2
Q	Rr	17703	1.786	2016	1
Q	Rr	16575	1.672	2015	4
Q	Rr	22104	2.230	2015	3
Q	Rr	22485	2.268	2015	2
Q	Rr	19632	1.980	2015	1
Q	Rr	21142	2.133	2014	4
Q	Rr	22272	2.247	2014	3
Q	Rr	31453	3.173	2014	2
Q	Rr	35906	3.622	2014	1
Q	Rr	16436	1.658	2013	4
Q	Rr	15216	1.535	2013	3
Q	Rr	16545	1.669	2013	2
Q	Rr	16976	1.712	2013	1
Q	Rr	16578	1.672	2012	4
Q	Rr	12511	1.262	2012	3
Q	Rr	15816	1.595	2012	2
Q	Rr	15837	1.598	2012	1
Q	Rr	15444	1.558	2011	4
Q	Rr	17386	1.754	2011	3
Q	Rr	9395	0.948	2011	2
Q	Rr	14790	1.492	2011	1
Q	Rr	1603	0.162	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	1.417	2010	2
Q	Rr	6489	0.655	2010	1
Q	Rr	16350	1.649	2009	4
Q	Rr	18220	1.838	2009	3
Q	Rr	17115	1.726	2009	2
Q	Rr	18025	1.818	2009	1
Q	Rr	15905	1.604	2008	4
Q	Rr	15660	1.580	2008	3
Q	Rr	22448	2.264	2008	2
Q	Rr	17807	1.796	2008	1
Q	Rr	1700	0.171	2007	4
Q	*BT	R	35906	2014	1
m	Rr	1809	0.182	2021	10
m	Rr	6059	0.611	2021	09
m	Rr	9092	0.917	2021	08
m	Rr	11675	1.178	2021	07
m	Rr	10152	1.024	2021	06
m	Rr	10231	1.032	2021	05
m	Rr	10292	1.038	2021	04
m	Rr	7948	0.802	2021	03
m	Rr	5800	0.585	2021	02
m	Rr	6514	0.657	2021	01
m	Rr	8069	0.814	2020	12
m	Rr	6579	0.664	2020	11
m	Rr	7551	0.762	2020	10
m	Rr	8028	0.810	2020	09
m	Rr	7741	0.781	2020	08
m	Rr	8113	0.818	2020	07
m	Rr	7317	0.738	2020	06
m	Rr	6898	0.696	2020	05
m	Rr	7441	0.751	2020	04
m	Rr	7524	0.759	2020	03
m	Rr	7322	0.739	2020	02
m	Rr	6797	0.686	2020	01
m	Rr	6573	0.663	2019	12
m	Rr	5917	0.597	2019	11
m	Rr	6608	0.667	2019	10
m	Rr	6791	0.685	2019	09
m	Rr	6597	0.665	2019	08
m	Rr	6280	0.633	2019	07
m	Rr	6317	0.637	2019	06
m	Rr	6847	0.691	2019	05
m	Rr	6663	0.672	2019	04
m	Rr	7059	0.712	2019	03
m	Rr	6374	0.643	2019	02
m	Rr	8062	0.813	2019	01
m	Rr	6957	0.702	2018	12
m	Rr	5422	0.547	2018	11
m	Rr	5750	0.580	2018	10
m	Rr	5458	0.551	2018	09
m	Rr	5735	0.579	2018	08
m	Rr	5945	0.600	2018	07
m	Rr	7110	0.717	2018	06
m	Rr	6440	0.650	2018	05
m	Rr	3378	0.341	2018	04
m	Rr	5789	0.584	2018	03
m	Rr	5369	0.542	2018	02
m	Rr	5574	0.562	2018	01
m	Rr	3906	0.394	2017	12
m	Rr	6533	0.659	2017	11
m	Rr	5498	0.555	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.689	2017	05
m	Rr	9999	1.009	2017	04
m	Rr	11887	1.199	2017	03
m	Rr	7941	0.801	2017	02
m	Rr	7572	0.764	2017	01
m	Rr	9483	0.957	2016	12
m	Rr	7121	0.718	2016	11
m	Rr	5510	0.556	2016	10
m	Rr	6288	0.634	2016	09
m	Rr	5888	0.594	2016	08
m	Rr	5445	0.549	2016	07
m	Rr	5042	0.509	2016	06
m	Rr	5495	0.554	2016	05
m	Rr	5341	0.539	2016	04
m	Rr	5558	0.561	2016	03
m	Rr	5548	0.560	2016	02
m	Rr	6597	0.665	2016	01
m	Rr	5574	0.562	2015	12
m	Rr	5330	0.538	2015	11
m	Rr	5671	0.572	2015	10
m	Rr	6196	0.625	2015	09
m	Rr	6788	0.685	2015	08
m	Rr	9120	0.920	2015	07
m	Rr	7156	0.722	2015	06
m	Rr	5694	0.574	2015	05
m	Rr	9635	0.972	2015	04
m	Rr	6215	0.627	2015	03
m	Rr	6084	0.614	2015	02
m	Rr	7333	0.740	2015	01
m	Rr	6608	0.667	2014	12
