x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2023	01	01	05	52
x	FR	2007	12	18	17	05
x	LR	2022	12	30	23	53
x	E7	2023	01	01	05	52
x	SR	1092998
x	S7	1257
x	NC	430170
x	C7	0
x	FL	440322
x	F7	500
x	RR	194
x	R7	0
x	NH	96763
x	H7	339
x	BT	50429287417
x	B7	138830651
1	Rr	82334	7.533	2022
1	Rr	98917	9.050	2021
1	Rr	89380	8.178	2020
1	Rr	80088	7.327	2019
1	Rr	68927	6.306	2018
1	Rr	60168	5.505	2017
1	Rr	73316	6.708	2016
1	Rr	80796	7.392	2015
1	Rr	110773	10.135	2014
1	Rr	65173	5.963	2013
1	Rr	60742	5.557	2012
1	Rr	57015	5.216	2011
1	Rr	22139	2.026	2010
1	Rr	69710	6.378	2009
1	Rr	71820	6.571	2008
1	Rr	1700	0.156	2007
1	*BT	R	110773	2014
Q	Rr	20307	1.858	2022	4
Q	Rr	20362	1.863	2022	3
Q	Rr	21795	1.994	2022	2
Q	Rr	19870	1.818	2022	1
Q	Rr	21154	1.935	2021	4
Q	Rr	26826	2.454	2021	3
Q	Rr	30675	2.807	2021	2
Q	Rr	20262	1.854	2021	1
Q	Rr	22199	2.031	2020	4
Q	Rr	23882	2.185	2020	3
Q	Rr	21656	1.981	2020	2
Q	Rr	21643	1.980	2020	1
Q	Rr	19098	1.747	2019	4
Q	Rr	19668	1.799	2019	3
Q	Rr	19827	1.814	2019	2
Q	Rr	21495	1.967	2019	1
Q	Rr	18129	1.659	2018	4
Q	Rr	17138	1.568	2018	3
Q	Rr	16928	1.549	2018	2
Q	Rr	16732	1.531	2018	1
Q	Rr	15937	1.458	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	1.540	2017	2
Q	Rr	27400	2.507	2017	1
Q	Rr	22114	2.023	2016	4
Q	Rr	17621	1.612	2016	3
Q	Rr	15878	1.453	2016	2
Q	Rr	17703	1.620	2016	1
Q	Rr	16575	1.516	2015	4
Q	Rr	22104	2.022	2015	3
Q	Rr	22485	2.057	2015	2
Q	Rr	19632	1.796	2015	1
Q	Rr	21142	1.934	2014	4
Q	Rr	22272	2.038	2014	3
Q	Rr	31453	2.878	2014	2
Q	Rr	35906	3.285	2014	1
Q	Rr	16436	1.504	2013	4
Q	Rr	15216	1.392	2013	3
Q	Rr	16545	1.514	2013	2
Q	Rr	16976	1.553	2013	1
Q	Rr	16578	1.517	2012	4
Q	Rr	12511	1.145	2012	3
Q	Rr	15816	1.447	2012	2
Q	Rr	15837	1.449	2012	1
Q	Rr	15444	1.413	2011	4
Q	Rr	17386	1.591	2011	3
Q	Rr	9395	0.860	2011	2
Q	Rr	14790	1.353	2011	1
Q	Rr	1603	0.147	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	1.285	2010	2
Q	Rr	6489	0.594	2010	1
Q	Rr	16350	1.496	2009	4
Q	Rr	18220	1.667	2009	3
Q	Rr	17115	1.566	2009	2
Q	Rr	18025	1.649	2009	1
Q	Rr	15905	1.455	2008	4
Q	Rr	15660	1.433	2008	3
Q	Rr	22448	2.054	2008	2
Q	Rr	17807	1.629	2008	1
Q	Rr	1700	0.156	2007	4
Q	*BT	R	35906	2014	1
m	Rr	6950	0.636	2022	12
m	Rr	6349	0.581	2022	11
m	Rr	7008	0.641	2022	10
m	Rr	6740	0.617	2022	09
m	Rr	6863	0.628	2022	08
m	Rr	6759	0.618	2022	07
m	Rr	6567	0.601	2022	06
m	Rr	8427	0.771	2022	05
m	Rr	6801	0.622	2022	04
m	Rr	6380	0.584	2022	03
m	Rr	6175	0.565	2022	02
m	Rr	7315	0.669	2022	01
m	Rr	7667	0.701	2021	12
m	Rr	7097	0.649	2021	11
m	Rr	6390	0.585	2021	10
m	Rr	6059	0.554	2021	09
m	Rr	9092	0.832	2021	08
m	Rr	11675	1.068	2021	07
m	Rr	10152	0.929	2021	06
m	Rr	10231	0.936	2021	05
m	Rr	10292	0.942	2021	04
m	Rr	7948	0.727	2021	03
m	Rr	5800	0.531	2021	02
m	Rr	6514	0.596	2021	01
m	Rr	8069	0.738	2020	12
m	Rr	6579	0.602	2020	11
m	Rr	7551	0.691	2020	10
m	Rr	8028	0.734	2020	09
m	Rr	7741	0.708	2020	08
m	Rr	8113	0.742	2020	07
m	Rr	7317	0.669	2020	06
m	Rr	6898	0.631	2020	05
m	Rr	7441	0.681	2020	04
m	Rr	7524	0.688	2020	03
m	Rr	7322	0.670	2020	02
m	Rr	6797	0.622	2020	01
m	Rr	6573	0.601	2019	12
m	Rr	5917	0.541	2019	11
m	Rr	6608	0.605	2019	10
m	Rr	6791	0.621	2019	09
m	Rr	6597	0.604	2019	08
m	Rr	6280	0.575	2019	07
m	Rr	6317	0.578	2019	06
m	Rr	6847	0.626	2019	05
m	Rr	6663	0.610	2019	04
m	Rr	7059	0.646	2019	03
m	Rr	6374	0.583	2019	02
m	Rr	8062	0.738	2019	01
m	Rr	6957	0.637	2018	12
m	Rr	5422	0.496	2018	11
m	Rr	5750	0.526	2018	10
m	Rr	5458	0.499	2018	09
m	Rr	5735	0.525	2018	08
m	Rr	5945	0.544	2018	07
m	Rr	7110	0.651	2018	06
m	Rr	6440	0.589	2018	05
m	Rr	3378	0.309	2018	04
m	Rr	5789	0.530	2018	03
m	Rr	5369	0.491	2018	02
m	Rr	5574	0.510	2018	01
m	Rr	3906	0.357	2017	12
m	Rr	6533	0.598	2017	11
m	Rr	5498	0.503	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.625	2017	05
m	Rr	9999	0.915	2017	04
m	Rr	11887	1.088	2017	03
m	Rr	7941	0.727	2017	02
m	Rr	7572	0.693	2017	01
m	Rr	9483	0.868	2016	12
m	Rr	7121	0.652	2016	11
m	Rr	5510	0.504	2016	10
m	Rr	6288	0.575	2016	09
m	Rr	5888	0.539	2016	08
m	Rr	5445	0.498	2016	07
m	Rr	5042	0.461	2016	06
m	Rr	5495	0.503	2016	05
m	Rr	5341	0.489	2016	04
m	Rr	5558	0.509	2016	03
m	Rr	5548	0.508	2016	02
m	Rr	6597	0.604	2016	01
m	Rr	5574	0.510	2015	12
m	Rr	5330	0.488	2015	11
m	Rr	5671	0.519	2015	10
m	Rr	6196	0.567	2015	09
m	Rr	6788	0.621	2015	08
m	Rr	9120	0.834	2015	07
m	Rr	7156	0.655	2015	06
m	Rr	5694	0.521	2015	05
m	Rr	9635	0.882	2015	04
m	Rr	6215	0.569	2015	03
m	Rr	6084	0.557	2015	02
m	Rr	7333	0.671	2015	01
m	Rr	6608	0.605	2014	12
m	Rr	6997	0.640	2014	11
m	Rr	7537	0.690	2014	10
m	Rr	7043	0.644	2014	09
m	Rr	7324	0.670	2014	08
m	Rr	7905	0.723	2014	07
m	Rr	11654	1.066	2014	06
m	Rr	9211	0.843	2014	05
m	Rr	10588	0.969	2014	04
m	Rr	7817	0.715	2014	03
m	Rr	15229	1.393	2014	02
m	Rr	12860	1.177	2014	01
m	Rr	5325	0.487	2013	12
m	Rr	5513	0.504	2013	11
m	Rr	5598	0.512	2013	10
m	Rr	4655	0.426	2013	09
m	Rr	4938	0.452	2013	08
m	Rr	5623	0.514	2013	07
m	Rr	5492	0.502	2013	06
m	Rr	5211	0.477	2013	05
m	Rr	5842	0.534	2013	04
m	Rr	6068	0.555	2013	03
m	Rr	5055	0.462	2013	02
m	Rr	5853	0.535	2013	01
m	Rr	5688	0.520	2012	12
m	Rr	5477	0.501	2012	11
m	Rr	5413	0.495	2012	10
m	Rr	4331	0.396	2012	09
m	Rr	3866	0.354	2012	08
m	Rr	4314	0.395	2012	07
m	Rr	4655	0.426	2012	06
m	Rr	6047	0.553	2012	05
m	Rr	5114	0.468	2012	04
m	Rr	6128	0.561	2012	03
m	Rr	5430	0.497	2012	02
m	Rr	4279	0.391	2012	01
m	Rr	5548	0.508	2011	12
m	Rr	4779	0.437	2011	11
m	Rr	5117	0.468	2011	10
m	Rr	5431	0.497	2011	09
m	Rr	6256	0.572	2011	08
m	Rr	5699	0.521	2011	07
m	Rr	5420	0.496	2011	06
m	Rr	3975	0.364	2011	05
m	Rr	0	0.000	2011	04
m	Rr	3608	0.330	2011	03
m	Rr	5171	0.473	2011	02
m	Rr	6011	0.550	2011	01
m	Rr	1603	0.147	2010	12
m	Rr	0	0.000	2010	11
m	Rr	0	0.000	2010	10
