x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2017	01	29	02	30
x	FR	2007	12	18	17	05
x	LR	2017	01	29	05	06
x	E7	2017	01	29	02	30
x	SR	620108
x	S7	1768
x	NC	266361
x	C7	0
x	FL	295729
x	F7	414
x	RR	178
x	R7	0
x	NH	55045
x	H7	361
x	BT	18286836795
x	B7	87372870
1	Rr	6924	1.117	2017
1	Rr	73316	11.823	2016
1	Rr	80796	13.029	2015
1	Rr	110773	17.864	2014
1	Rr	65173	10.510	2013
1	Rr	60742	9.795	2012
1	Rr	57015	9.194	2011
1	Rr	22139	3.570	2010
1	Rr	69710	11.242	2009
1	Rr	71820	11.582	2008
1	Rr	1700	0.274	2007
1	*BT	R	110773	2014
Q	Rr	6924	1.117	2017	1
Q	Rr	22114	3.566	2016	4
Q	Rr	17621	2.842	2016	3
Q	Rr	15878	2.561	2016	2
Q	Rr	17703	2.855	2016	1
Q	Rr	16575	2.673	2015	4
Q	Rr	22104	3.565	2015	3
Q	Rr	22485	3.626	2015	2
Q	Rr	19632	3.166	2015	1
Q	Rr	21142	3.409	2014	4
Q	Rr	22272	3.592	2014	3
Q	Rr	31453	5.072	2014	2
Q	Rr	35906	5.790	2014	1
Q	Rr	16436	2.651	2013	4
Q	Rr	15216	2.454	2013	3
Q	Rr	16545	2.668	2013	2
Q	Rr	16976	2.738	2013	1
Q	Rr	16578	2.673	2012	4
Q	Rr	12511	2.018	2012	3
Q	Rr	15816	2.551	2012	2
Q	Rr	15837	2.554	2012	1
Q	Rr	15444	2.491	2011	4
Q	Rr	17386	2.804	2011	3
Q	Rr	9395	1.515	2011	2
Q	Rr	14790	2.385	2011	1
Q	Rr	1603	0.259	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	2.265	2010	2
Q	Rr	6489	1.046	2010	1
Q	Rr	16350	2.637	2009	4
Q	Rr	18220	2.938	2009	3
Q	Rr	17115	2.760	2009	2
Q	Rr	18025	2.907	2009	1
Q	Rr	15905	2.565	2008	4
Q	Rr	15660	2.525	2008	3
Q	Rr	22448	3.620	2008	2
Q	Rr	17807	2.872	2008	1
Q	Rr	1700	0.274	2007	4
Q	*BT	R	35906	2014	1
m	Rr	6924	1.117	2017	01
m	Rr	9483	1.529	2016	12
