x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2024	01	29	02	00
x	FR	2007	12	18	17	05
x	LR	2024	01	28	05	47
x	E7	2024	01	29	02	00
x	SR	1654069
x	S7	8235
x	NC	590265
x	C7	0
x	FL	619219
x	F7	646
x	RR	248
x	R7	0
x	NH	109103
x	H7	443
x	BT	57520368399
x	B7	0
1	Rr	49863	3.015	2024
1	Rr	511208	30.906	2023
1	Rr	82334	4.978	2022
1	Rr	98917	5.980	2021
1	Rr	89380	5.404	2020
1	Rr	80088	4.842	2019
1	Rr	68927	4.167	2018
1	Rr	60168	3.638	2017
1	Rr	73316	4.432	2016
1	Rr	80796	4.885	2015
1	Rr	110773	6.697	2014
1	Rr	65173	3.940	2013
1	Rr	60742	3.672	2012
1	Rr	57015	3.447	2011
1	Rr	22139	1.338	2010
1	Rr	69710	4.214	2009
1	Rr	71820	4.342	2008
1	Rr	1700	0.103	2007
1	*BT	R	511208	2023
Q	Rr	49863	3.015	2024	1
Q	Rr	182268	11.019	2023	4
Q	Rr	165939	10.032	2023	3
Q	Rr	135306	8.180	2023	2
Q	Rr	27695	1.674	2023	1
Q	Rr	20307	1.228	2022	4
Q	Rr	20362	1.231	2022	3
Q	Rr	21795	1.318	2022	2
Q	Rr	19870	1.201	2022	1
Q	Rr	21154	1.279	2021	4
Q	Rr	26826	1.622	2021	3
Q	Rr	30675	1.855	2021	2
Q	Rr	20262	1.225	2021	1
Q	Rr	22199	1.342	2020	4
Q	Rr	23882	1.444	2020	3
Q	Rr	21656	1.309	2020	2
Q	Rr	21643	1.308	2020	1
Q	Rr	19098	1.155	2019	4
Q	Rr	19668	1.189	2019	3
Q	Rr	19827	1.199	2019	2
Q	Rr	21495	1.300	2019	1
Q	Rr	18129	1.096	2018	4
Q	Rr	17138	1.036	2018	3
Q	Rr	16928	1.023	2018	2
Q	Rr	16732	1.012	2018	1
Q	Rr	15937	0.964	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	1.018	2017	2
Q	Rr	27400	1.657	2017	1
Q	Rr	22114	1.337	2016	4
Q	Rr	17621	1.065	2016	3
Q	Rr	15878	0.960	2016	2
Q	Rr	17703	1.070	2016	1
Q	Rr	16575	1.002	2015	4
Q	Rr	22104	1.336	2015	3
Q	Rr	22485	1.359	2015	2
Q	Rr	19632	1.187	2015	1
Q	Rr	21142	1.278	2014	4
Q	Rr	22272	1.346	2014	3
Q	Rr	31453	1.902	2014	2
Q	Rr	35906	2.171	2014	1
Q	Rr	16436	0.994	2013	4
Q	Rr	15216	0.920	2013	3
Q	Rr	16545	1.000	2013	2
Q	Rr	16976	1.026	2013	1
Q	Rr	16578	1.002	2012	4
Q	Rr	12511	0.756	2012	3
Q	Rr	15816	0.956	2012	2
Q	Rr	15837	0.957	2012	1
Q	Rr	15444	0.934	2011	4
Q	Rr	17386	1.051	2011	3
Q	Rr	9395	0.568	2011	2
Q	Rr	14790	0.894	2011	1
Q	Rr	1603	0.097	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	0.849	2010	2
Q	Rr	6489	0.392	2010	1
Q	Rr	16350	0.988	2009	4
Q	Rr	18220	1.102	2009	3
Q	Rr	17115	1.035	2009	2
Q	Rr	18025	1.090	2009	1
Q	Rr	15905	0.962	2008	4
Q	Rr	15660	0.947	2008	3
Q	Rr	22448	1.357	2008	2
Q	Rr	17807	1.077	2008	1
Q	Rr	1700	0.103	2007	4
Q	*BT	R	182268	2023	4
m	Rr	49863	3.015	2024	01
m	Rr	54270	3.281	2023	12
m	Rr	61278	3.705	2023	11
m	Rr	66720	4.034	2023	10
m	Rr	51132	3.091	2023	09
m	Rr	54561	3.299	2023	08
m	Rr	60246	3.642	2023	07
m	Rr	66204	4.002	2023	06
m	Rr	60120	3.635	2023	05
m	Rr	8982	0.543	2023	04
m	Rr	10848	0.656	2023	03
m	Rr	8360	0.505	2023	02
m	Rr	8487	0.513	2023	01
m	Rr	6950	0.420	2022	12
m	Rr	6349	0.384	2022	11
m	Rr	7008	0.424	2022	10
m	Rr	6740	0.407	2022	09
m	Rr	6863	0.415	2022	08
m	Rr	6759	0.409	2022	07
m	Rr	6567	0.397	2022	06
m	Rr	8427	0.509	2022	05
m	Rr	6801	0.411	2022	04
m	Rr	6380	0.386	2022	03
m	Rr	6175	0.373	2022	02
m	Rr	7315	0.442	2022	01
m	Rr	7667	0.464	2021	12
m	Rr	7097	0.429	2021	11
m	Rr	6390	0.386	2021	10
m	Rr	6059	0.366	2021	09
m	Rr	9092	0.550	2021	08
m	Rr	11675	0.706	2021	07
m	Rr	10152	0.614	2021	06
m	Rr	10231	0.619	2021	05
m	Rr	10292	0.622	2021	04
m	Rr	7948	0.481	2021	03
m	Rr	5800	0.351	2021	02
m	Rr	6514	0.394	2021	01
m	Rr	8069	0.488	2020	12
m	Rr	6579	0.398	2020	11
m	Rr	7551	0.457	2020	10
m	Rr	8028	0.485	2020	09
m	Rr	7741	0.468	2020	08
m	Rr	8113	0.490	2020	07
m	Rr	7317	0.442	2020	06
m	Rr	6898	0.417	2020	05
m	Rr	7441	0.450	2020	04
m	Rr	7524	0.455	2020	03
m	Rr	7322	0.443	2020	02
m	Rr	6797	0.411	2020	01
m	Rr	6573	0.397	2019	12
m	Rr	5917	0.358	2019	11
m	Rr	6608	0.399	2019	10
m	Rr	6791	0.411	2019	09
m	Rr	6597	0.399	2019	08
m	Rr	6280	0.380	2019	07
m	Rr	6317	0.382	2019	06
m	Rr	6847	0.414	2019	05
m	Rr	6663	0.403	2019	04
m	Rr	7059	0.427	2019	03
m	Rr	6374	0.385	2019	02
m	Rr	8062	0.487	2019	01
m	Rr	6957	0.421	2018	12
m	Rr	5422	0.328	2018	11
m	Rr	5750	0.348	2018	10
m	Rr	5458	0.330	2018	09
m	Rr	5735	0.347	2018	08
m	Rr	5945	0.359	2018	07
m	Rr	7110	0.430	2018	06
m	Rr	6440	0.389	2018	05
m	Rr	3378	0.204	2018	04
m	Rr	5789	0.350	2018	03
m	Rr	5369	0.325	2018	02
m	Rr	5574	0.337	2018	01
m	Rr	3906	0.236	2017	12
m	Rr	6533	0.395	2017	11
m	Rr	5498	0.332	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.413	2017	05
m	Rr	9999	0.605	2017	04
m	Rr	11887	0.719	2017	03
m	Rr	7941	0.480	2017	02
m	Rr	7572	0.458	2017	01
m	Rr	9483	0.573	2016	12
m	Rr	7121	0.431	2016	11
m	Rr	5510	0.333	2016	10
m	Rr	6288	0.380	2016	09
m	Rr	5888	0.356	2016	08
m	Rr	5445	0.329	2016	07
m	Rr	5042	0.305	2016	06
m	Rr	5495	0.332	2016	05
m	Rr	5341	0.323	2016	04
m	Rr	5558	0.336	2016	03
m	Rr	5548	0.335	2016	02
m	Rr	6597	0.399	2016	01
m	Rr	5574	0.337	2015	12
m	Rr	5330	0.322	2015	11
m	Rr	5671	0.343	2015	10
m	Rr	6196	0.375	2015	09
m	Rr	6788	0.410	2015	08
m	Rr	9120	0.551	2015	07
m	Rr	7156	0.433	2015	06
m	Rr	5694	0.344	2015	05
m	Rr	9635	0.583	2015	04
m	Rr	6215	0.376	2015	03
m	Rr	6084	0.368	2015	02
m	Rr	7333	0.443	2015	01
m	Rr	6608	0.399	2014	12
m	Rr	6997	0.423	2014	11
m	Rr	7537	0.456	2014	10
m	Rr	7043	0.426	2014	09
m	Rr	7324	0.443	2014	08
m	Rr	7905	0.478	2014	07
m	Rr	11654	0.705	2014	06
m	Rr	9211	0.557	2014	05
m	Rr	10588	0.640	2014	04
m	Rr	7817	0.473	2014	03
m	Rr	15229	0.921	2014	02
m	Rr	12860	0.777	2014	01
m	Rr	5325	0.322	2013	12
m	Rr	5513	0.333	2013	11
m	Rr	5598	0.338	2013	10
m	Rr	4655	0.281	2013	09
m	Rr	4938	0.299	2013	08
m	Rr	5623	0.340	2013	07
m	Rr	5492	0.332	2013	06
m	Rr	5211	0.315	2013	05
m	Rr	5842	0.353	2013	04
m	Rr	6068	0.367	2013	03
m	Rr	5055	0.306	2013	02
m	Rr	5853	0.354	2013	01
m	Rr	5688	0.344	2012	12
m	Rr	5477	0.331	2012	11
m	Rr	5413	0.327	2012	10
m	Rr	4331	0.262	2012	09
m	Rr	3866	0.234	2012	08
m	Rr	4314	0.261	2012	07
m	Rr	4655	0.281	2012	06
m	Rr	6047	0.366	2012	05
m	Rr	5114	0.309	2012	04
m	Rr	6128	0.370	2012	03
m	Rr	5430	0.328	2012	02
m	Rr	4279	0.259	2012	01
m	Rr	5548	0.335	2011	12
m	Rr	4779	0.289	2011	11
m	Rr	5117	0.309	2011	10
m	Rr	5431	0.328	2011	09
m	Rr	6256	0.378	2011	08
m	Rr	5699	0.345	2011	07
m	Rr	5420	0.328	2011	06
m	Rr	3975	0.240	2011	05
m	Rr	0	0.000	2011	04
m	Rr	3608	0.218	2011	03
m	Rr	5171	0.313	2011	02
m	Rr	6011	0.363	2011	01
m	Rr	1603	0.097	2010	12
m	Rr	0	0.000	2010	11
m	Rr	0	0.000	2010	10
m	Rr	0	0.000	2010	09
m	Rr	0	0.000	2010	08
m	Rr	0	0.000	2010	07
m	Rr	4101	0.248	2010	06
m	Rr	5018	0.303	2010	05
m	Rr	4928	0.298	2010	04
m	Rr	5095	0.308	2010	03
m	Rr	1394	0.084	2010	02
m	Rr	0	0.000	2010	01
m	Rr	4665	0.282	2009	12
m	Rr	6187	0.374	2009	11
m	Rr	5498	0.332	2009	10
m	Rr	5066	0.306	2009	09
m	Rr	5718	0.346	2009	08
m	Rr	7436	0.450	2009	07
m	Rr	5685	0.344	2009	06
m	Rr	6120	0.370	2009	05
m	Rr	5310	0.321	2009	04
m	Rr	5515	0.333	2009	03
m	Rr	6123	0.370	2009	02
m	Rr	6387	0.386	2009	01
m	Rr	5763	0.348	2008	12
m	Rr	5420	0.328	2008	11
m	Rr	4722	0.285	2008	10
m	Rr	5435	0.329	2008	09
m	Rr	4843	0.293	2008	08
m	Rr	5382	0.325	2008	07
m	Rr	6082	0.368	2008	06
m	Rr	9946	0.601	2008	05
m	Rr	6420	0.388	2008	04
m	Rr	5431	0.328	2008	03
m	Rr	6469	0.391	2008	02
m	Rr	5907	0.357	2008	01
m	Rr	1700	0.103	2007	12
m	*BT	R	66720	2023	10
W	Rr	14	0.001	2024	01	28
W	Rr	9997	0.604	2024	01	21
W	Rr	13098	0.792	2024	01	14
W	Rr	15324	0.926	2024	01	07
W	Rr	12552	0.759	2023	12	31
W	Rr	11406	0.690	2023	12	24
W	Rr	11184	0.676	2023	12	17
W	Rr	13956	0.844	2023	12	10
W	Rr	13644	0.825	2023	12	03
W	Rr	12390	0.749	2023	11	26
W	Rr	11682	0.706	2023	11	19
W	Rr	15756	0.953	2023	11	12
W	Rr	16596	1.003	2023	11	05
W	Rr	16104	0.974	2023	10	29
W	Rr	13980	0.845	2023	10	22
W	Rr	15450	0.934	2023	10	15
W	Rr	14713	0.890	2023	10	08
W	Rr	14285	0.864	2023	10	01
W	Rr	14478	0.875	2023	09	24
W	Rr	11904	0.720	2023	09	17
W	Rr	10968	0.663	2023	09	10
W	Rr	10482	0.634	2023	09	03
W	Rr	10800	0.653	2023	08	27
W	Rr	14568	0.881	2023	08	20
W	Rr	12504	0.756	2023	08	13
W	Rr	12076	0.730	2023	08	06
W	Rr	10997	0.665	2023	07	30
W	Rr	13392	0.810	2023	07	23
W	Rr	13224	0.799	2023	07	16
W	Rr	16128	0.975	2023	07	09
W	Rr	13356	0.807	2023	07	02
W	Rr	12558	0.759	2023	06	25
W	Rr	17082	1.033	2023	06	18
W	Rr	16452	0.995	2023	06	11
W	Rr	15336	0.927	2023	06	04
W	Rr	13482	0.815	2023	05	28
W	Rr	16248	0.982	2023	05	21
W	Rr	15078	0.912	2023	05	14
W	Rr	17181	1.039	2023	05	07
W	Rr	4282	0.259	2023	04	30
W	Rr	2458	0.149	2023	04	23
W	Rr	2269	0.137	2023	04	16
W	Rr	1553	0.094	2023	04	09
W	Rr	2389	0.144	2023	04	02
W	Rr	1701	0.103	2023	03	26
W	Rr	1943	0.117	2023	03	19
W	Rr	2225	0.135	2023	03	12
W	Rr	2192	0.133	2023	03	05
W	Rr	4055	0.245	2023	02	26
W	Rr	2406	0.145	2023	02	19
W	Rr	1898	0.115	2023	02	12
W	Rr	1890	0.114	2023	02	05
W	Rr	1861	0.113	2023	01	29
W	Rr	1686	0.102	2023	01	22
W	Rr	1779	0.108	2023	01	15
W	Rr	1833	0.111	2023	01	08
W	Rr	2226	0.135	2023	01	01
W	Rr	1280	0.077	2022	12	25
W	Rr	1806	0.109	2022	12	18
W	Rr	1773	0.107	2022	12	11
W	Rr	1532	0.093	2022	12	04
W	Rr	1586	0.096	2022	11	27
W	Rr	1093	0.066	2022	11	20
W	Rr	1366	0.083	2022	11	13
W	Rr	1972	0.119	2022	11	06
W	Rr	1396	0.084	2022	10	30
