x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2026	02	02	01	57
x	FR	2007	12	18	17	05
x	LR	2026	02	01	05	57
x	E7	2026	02	02	01	57
x	SR	3401409
x	S7	14607
x	NC	959658
x	C7	0
x	FL	2644378
x	F7	1726
x	RR	627
x	R7	16
x	NH	141847
x	H7	1010
x	BT	57520368399
x	B7	0
1	Rr	89877	2.642	2026
1	Rr	870959	25.606	2025
1	Rr	836367	24.589	2024
1	Rr	511208	15.029	2023
1	Rr	82334	2.421	2022
1	Rr	98917	2.908	2021
1	Rr	89380	2.628	2020
1	Rr	80088	2.355	2019
1	Rr	68927	2.026	2018
1	Rr	60168	1.769	2017
1	Rr	73316	2.155	2016
1	Rr	80796	2.375	2015
1	Rr	110773	3.257	2014
1	Rr	65173	1.916	2013
1	Rr	60742	1.786	2012
1	Rr	57015	1.676	2011
1	Rr	22139	0.651	2010
1	Rr	69710	2.049	2009
1	Rr	71820	2.111	2008
1	Rr	1700	0.050	2007
1	*BT	R	870959	2025
Q	Rr	89877	2.642	2026	1
Q	Rr	243216	7.150	2025	4
Q	Rr	205969	6.055	2025	3
Q	Rr	216126	6.354	2025	2
Q	Rr	205648	6.046	2025	1
Q	Rr	202145	5.943	2024	4
Q	Rr	220334	6.478	2024	3
Q	Rr	204456	6.011	2024	2
Q	Rr	209432	6.157	2024	1
Q	Rr	182268	5.359	2023	4
Q	Rr	165939	4.879	2023	3
Q	Rr	135306	3.978	2023	2
Q	Rr	27695	0.814	2023	1
Q	Rr	20307	0.597	2022	4
Q	Rr	20362	0.599	2022	3
Q	Rr	21795	0.641	2022	2
Q	Rr	19870	0.584	2022	1
Q	Rr	21154	0.622	2021	4
Q	Rr	26826	0.789	2021	3
Q	Rr	30675	0.902	2021	2
Q	Rr	20262	0.596	2021	1
Q	Rr	22199	0.653	2020	4
Q	Rr	23882	0.702	2020	3
Q	Rr	21656	0.637	2020	2
Q	Rr	21643	0.636	2020	1
Q	Rr	19098	0.561	2019	4
Q	Rr	19668	0.578	2019	3
Q	Rr	19827	0.583	2019	2
Q	Rr	21495	0.632	2019	1
Q	Rr	18129	0.533	2018	4
Q	Rr	17138	0.504	2018	3
Q	Rr	16928	0.498	2018	2
Q	Rr	16732	0.492	2018	1
Q	Rr	15937	0.469	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	0.495	2017	2
Q	Rr	27400	0.806	2017	1
Q	Rr	22114	0.650	2016	4
Q	Rr	17621	0.518	2016	3
Q	Rr	15878	0.467	2016	2
Q	Rr	17703	0.520	2016	1
Q	Rr	16575	0.487	2015	4
Q	Rr	22104	0.650	2015	3
Q	Rr	22485	0.661	2015	2
Q	Rr	19632	0.577	2015	1
Q	Rr	21142	0.622	2014	4
Q	Rr	22272	0.655	2014	3
Q	Rr	31453	0.925	2014	2
Q	Rr	35906	1.056	2014	1
Q	Rr	16436	0.483	2013	4
Q	Rr	15216	0.447	2013	3
Q	Rr	16545	0.486	2013	2
Q	Rr	16976	0.499	2013	1
Q	Rr	16578	0.487	2012	4
Q	Rr	12511	0.368	2012	3
Q	Rr	15816	0.465	2012	2
Q	Rr	15837	0.466	2012	1
Q	Rr	15444	0.454	2011	4
Q	Rr	17386	0.511	2011	3
Q	Rr	9395	0.276	2011	2
Q	Rr	14790	0.435	2011	1
Q	Rr	1603	0.047	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	0.413	2010	2
Q	Rr	6489	0.191	2010	1
Q	Rr	16350	0.481	2009	4
Q	Rr	18220	0.536	2009	3
Q	Rr	17115	0.503	2009	2
Q	Rr	18025	0.530	2009	1
Q	Rr	15905	0.468	2008	4
Q	Rr	15660	0.460	2008	3
Q	Rr	22448	0.660	2008	2
Q	Rr	17807	0.524	2008	1
Q	Rr	1700	0.050	2007	4
Q	*BT	R	243216	2025	4
m	Rr	108	0.003	2026	02
m	Rr	89769	2.639	2026	01
m	Rr	83214	2.446	2025	12
m	Rr	77712	2.285	2025	11
m	Rr	82290	2.419	2025	10
m	Rr	74076	2.178	2025	09
m	Rr	63909	1.879	2025	08
m	Rr	67984	1.999	2025	07
m	Rr	77454	2.277	2025	06
m	Rr	66558	1.957	2025	05
m	Rr	72114	2.120	2025	04
m	Rr	70528	2.073	2025	03
m	Rr	57744	1.698	2025	02
m	Rr	77376	2.275	2025	01
m	Rr	57890	1.702	2024	12
m	Rr	63975	1.881	2024	11
m	Rr	80280	2.360	2024	10
m	Rr	73644	2.165	2024	09
m	Rr	72041	2.118	2024	08
m	Rr	74649	2.195	2024	07
m	Rr	69378	2.040	2024	06
m	Rr	72365	2.128	2024	05
m	Rr	62713	1.844	2024	04
m	Rr	66782	1.963	2024	03
m	Rr	68592	2.017	2024	02
m	Rr	74058	2.177	2024	01
m	Rr	54270	1.596	2023	12
m	Rr	61278	1.802	2023	11
m	Rr	66720	1.962	2023	10
m	Rr	51132	1.503	2023	09
m	Rr	54561	1.604	2023	08
m	Rr	60246	1.771	2023	07
m	Rr	66204	1.946	2023	06
m	Rr	60120	1.768	2023	05
m	Rr	8982	0.264	2023	04
m	Rr	10848	0.319	2023	03
m	Rr	8360	0.246	2023	02
m	Rr	8487	0.250	2023	01
m	Rr	6950	0.204	2022	12
m	Rr	6349	0.187	2022	11
m	Rr	7008	0.206	2022	10
m	Rr	6740	0.198	2022	09
m	Rr	6863	0.202	2022	08
m	Rr	6759	0.199	2022	07
m	Rr	6567	0.193	2022	06
m	Rr	8427	0.248	2022	05
m	Rr	6801	0.200	2022	04
m	Rr	6380	0.188	2022	03
m	Rr	6175	0.182	2022	02
m	Rr	7315	0.215	2022	01
m	Rr	7667	0.225	2021	12
m	Rr	7097	0.209	2021	11
m	Rr	6390	0.188	2021	10
m	Rr	6059	0.178	2021	09
m	Rr	9092	0.267	2021	08
m	Rr	11675	0.343	2021	07
m	Rr	10152	0.298	2021	06
m	Rr	10231	0.301	2021	05
m	Rr	10292	0.303	2021	04
m	Rr	7948	0.234	2021	03
m	Rr	5800	0.171	2021	02
m	Rr	6514	0.192	2021	01
m	Rr	8069	0.237	2020	12
m	Rr	6579	0.193	2020	11
m	Rr	7551	0.222	2020	10
m	Rr	8028	0.236	2020	09
m	Rr	7741	0.228	2020	08
m	Rr	8113	0.239	2020	07
m	Rr	7317	0.215	2020	06
m	Rr	6898	0.203	2020	05
m	Rr	7441	0.219	2020	04
m	Rr	7524	0.221	2020	03
m	Rr	7322	0.215	2020	02
m	Rr	6797	0.200	2020	01
m	Rr	6573	0.193	2019	12
m	Rr	5917	0.174	2019	11
m	Rr	6608	0.194	2019	10
m	Rr	6791	0.200	2019	09
m	Rr	6597	0.194	2019	08
m	Rr	6280	0.185	2019	07
m	Rr	6317	0.186	2019	06
m	Rr	6847	0.201	2019	05
m	Rr	6663	0.196	2019	04
m	Rr	7059	0.208	2019	03
m	Rr	6374	0.187	2019	02
m	Rr	8062	0.237	2019	01
m	Rr	6957	0.205	2018	12
m	Rr	5422	0.159	2018	11
m	Rr	5750	0.169	2018	10
m	Rr	5458	0.160	2018	09
m	Rr	5735	0.169	2018	08
m	Rr	5945	0.175	2018	07
m	Rr	7110	0.209	2018	06
m	Rr	6440	0.189	2018	05
m	Rr	3378	0.099	2018	04
m	Rr	5789	0.170	2018	03
m	Rr	5369	0.158	2018	02
m	Rr	5574	0.164	2018	01
m	Rr	3906	0.115	2017	12
m	Rr	6533	0.192	2017	11
m	Rr	5498	0.162	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.201	2017	05
m	Rr	9999	0.294	2017	04
m	Rr	11887	0.349	2017	03
m	Rr	7941	0.233	2017	02
m	Rr	7572	0.223	2017	01
m	Rr	9483	0.279	2016	12
m	Rr	7121	0.209	2016	11
m	Rr	5510	0.162	2016	10
m	Rr	6288	0.185	2016	09
m	Rr	5888	0.173	2016	08
m	Rr	5445	0.160	2016	07
m	Rr	5042	0.148	2016	06
m	Rr	5495	0.162	2016	05
m	Rr	5341	0.157	2016	04
m	Rr	5558	0.163	2016	03
m	Rr	5548	0.163	2016	02
m	Rr	6597	0.194	2016	01
m	Rr	5574	0.164	2015	12
m	Rr	5330	0.157	2015	11
m	Rr	5671	0.167	2015	10
m	Rr	6196	0.182	2015	09
m	Rr	6788	0.200	2015	08
m	Rr	9120	0.268	2015	07
m	Rr	7156	0.210	2015	06
m	Rr	5694	0.167	2015	05
m	Rr	9635	0.283	2015	04
m	Rr	6215	0.183	2015	03
m	Rr	6084	0.179	2015	02
m	Rr	7333	0.216	2015	01
m	Rr	6608	0.194	2014	12
m	Rr	6997	0.206	2014	11
m	Rr	7537	0.222	2014	10
m	Rr	7043	0.207	2014	09
m	Rr	7324	0.215	2014	08
m	Rr	7905	0.232	2014	07
m	Rr	11654	0.343	2014	06
m	Rr	9211	0.271	2014	05
m	Rr	10588	0.311	2014	04
m	Rr	7817	0.230	2014	03
m	Rr	15229	0.448	2014	02
