x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2025	02	19	01	54
x	FR	2007	12	18	17	05
x	LR	2025	02	18	05	55
x	E7	2025	02	19	01	54
x	SR	2545998
x	S7	6854
x	NC	795255
x	C7	0
x	FL	1192130
x	F7	498
x	RR	291
x	R7	1
x	NH	122921
x	H7	459
x	BT	57520368399
x	B7	0
1	Rr	105425	4.141	2025
1	Rr	836367	32.850	2024
1	Rr	511208	20.079	2023
1	Rr	82334	3.234	2022
1	Rr	98917	3.885	2021
1	Rr	89380	3.511	2020
1	Rr	80088	3.146	2019
1	Rr	68927	2.707	2018
1	Rr	60168	2.363	2017
1	Rr	73316	2.880	2016
1	Rr	80796	3.173	2015
1	Rr	110773	4.351	2014
1	Rr	65173	2.560	2013
1	Rr	60742	2.386	2012
1	Rr	57015	2.239	2011
1	Rr	22139	0.870	2010
1	Rr	69710	2.738	2009
1	Rr	71820	2.821	2008
1	Rr	1700	0.067	2007
1	*BT	R	836367	2024
Q	Rr	105425	4.141	2025	1
Q	Rr	202145	7.940	2024	4
Q	Rr	220334	8.654	2024	3
Q	Rr	204456	8.030	2024	2
Q	Rr	209432	8.226	2024	1
Q	Rr	182268	7.159	2023	4
Q	Rr	165939	6.518	2023	3
Q	Rr	135306	5.314	2023	2
Q	Rr	27695	1.088	2023	1
Q	Rr	20307	0.798	2022	4
Q	Rr	20362	0.800	2022	3
Q	Rr	21795	0.856	2022	2
Q	Rr	19870	0.780	2022	1
Q	Rr	21154	0.831	2021	4
Q	Rr	26826	1.054	2021	3
Q	Rr	30675	1.205	2021	2
Q	Rr	20262	0.796	2021	1
Q	Rr	22199	0.872	2020	4
Q	Rr	23882	0.938	2020	3
Q	Rr	21656	0.851	2020	2
Q	Rr	21643	0.850	2020	1
Q	Rr	19098	0.750	2019	4
Q	Rr	19668	0.773	2019	3
Q	Rr	19827	0.779	2019	2
Q	Rr	21495	0.844	2019	1
Q	Rr	18129	0.712	2018	4
Q	Rr	17138	0.673	2018	3
Q	Rr	16928	0.665	2018	2
Q	Rr	16732	0.657	2018	1
Q	Rr	15937	0.626	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	0.661	2017	2
Q	Rr	27400	1.076	2017	1
Q	Rr	22114	0.869	2016	4
Q	Rr	17621	0.692	2016	3
Q	Rr	15878	0.624	2016	2
Q	Rr	17703	0.695	2016	1
Q	Rr	16575	0.651	2015	4
Q	Rr	22104	0.868	2015	3
Q	Rr	22485	0.883	2015	2
Q	Rr	19632	0.771	2015	1
Q	Rr	21142	0.830	2014	4
Q	Rr	22272	0.875	2014	3
Q	Rr	31453	1.235	2014	2
Q	Rr	35906	1.410	2014	1
Q	Rr	16436	0.646	2013	4
Q	Rr	15216	0.598	2013	3
Q	Rr	16545	0.650	2013	2
Q	Rr	16976	0.667	2013	1
Q	Rr	16578	0.651	2012	4
Q	Rr	12511	0.491	2012	3
Q	Rr	15816	0.621	2012	2
Q	Rr	15837	0.622	2012	1
Q	Rr	15444	0.607	2011	4
Q	Rr	17386	0.683	2011	3
