x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2016	09	25	02	30
x	FR	2007	12	18	17	05
x	LR	2016	09	25	05	31
x	E7	2016	09	25	02	30
x	SR	589362
x	S7	1403
x	NC	254631
x	C7	0
x	FL	289396
x	F7	293
x	RR	178
x	R7	0
x	NH	52271
x	H7	261
x	BT	16808808486
x	B7	38575748
1	Rr	49494	8.398	2016
1	Rr	80796	13.709	2015
1	Rr	110773	18.795	2014
1	Rr	65173	11.058	2013
1	Rr	60742	10.306	2012
1	Rr	57015	9.674	2011
1	Rr	22139	3.756	2010
1	Rr	69710	11.828	2009
1	Rr	71820	12.186	2008
1	Rr	1700	0.288	2007
1	*BT	R	110773	2014
Q	Rr	15913	2.700	2016	3
Q	Rr	15878	2.694	2016	2
Q	Rr	17703	3.004	2016	1
Q	Rr	16575	2.812	2015	4
Q	Rr	22104	3.750	2015	3
Q	Rr	22485	3.815	2015	2
Q	Rr	19632	3.331	2015	1
Q	Rr	21142	3.587	2014	4
Q	Rr	22272	3.779	2014	3
Q	Rr	31453	5.337	2014	2
Q	Rr	35906	6.092	2014	1
Q	Rr	16436	2.789	2013	4
Q	Rr	15216	2.582	2013	3
Q	Rr	16545	2.807	2013	2
Q	Rr	16976	2.880	2013	1
Q	Rr	16578	2.813	2012	4
Q	Rr	12511	2.123	2012	3
Q	Rr	15816	2.684	2012	2
Q	Rr	15837	2.687	2012	1
Q	Rr	15444	2.620	2011	4
Q	Rr	17386	2.950	2011	3
Q	Rr	9395	1.594	2011	2
Q	Rr	14790	2.509	2011	1
Q	Rr	1603	0.272	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	2.383	2010	2
Q	Rr	6489	1.101	2010	1
Q	Rr	16350	2.774	2009	4
Q	Rr	18220	3.091	2009	3
Q	Rr	17115	2.904	2009	2
Q	Rr	18025	3.058	2009	1
Q	Rr	15905	2.699	2008	4
Q	Rr	15660	2.657	2008	3
Q	Rr	22448	3.809	2008	2
Q	Rr	17807	3.021	2008	1
Q	Rr	1700	0.288	2007	4
Q	*BT	R	35906	2014	1
m	Rr	4580	0.777	2016	09
m	Rr	5888	0.999	2016	08
m	Rr	5445	0.924	2016	07
m	Rr	5042	0.856	2016	06
m	Rr	5495	0.932	2016	05
m	Rr	5341	0.906	2016	04
m	Rr	5558	0.943	2016	03
m	Rr	5548	0.941	2016	02
m	Rr	6597	1.119	2016	01
m	Rr	5574	0.946	2015	12
m	Rr	5330	0.904	2015	11
m	Rr	5671	0.962	2015	10
m	Rr	6196	1.051	2015	09
m	Rr	6788	1.152	2015	08
m	Rr	9120	1.547	2015	07
m	Rr	7156	1.214	2015	06
m	Rr	5694	0.966	2015	05
m	Rr	9635	1.635	2015	04
m	Rr	6215	1.055	2015	03
m	Rr	6084	1.032	2015	02
m	Rr	7333	1.244	2015	01
m	Rr	6608	1.121	2014	12
m	Rr	6997	1.187	2014	11
m	Rr	7537	1.279	2014	10
m	Rr	7043	1.195	2014	09
m	Rr	7324	1.243	2014	08
m	Rr	7905	1.341	2014	07
m	Rr	11654	1.977	2014	06
m	Rr	9211	1.563	2014	05
m	Rr	10588	1.797	2014	04
m	Rr	7817	1.326	2014	03
m	Rr	15229	2.584	2014	02
m	Rr	12860	2.182	2014	01
m	Rr	5325	0.904	2013	12
m	Rr	5513	0.935	2013	11
m	Rr	5598	0.950	2013	10
m	Rr	4655	0.790	2013	09
m	Rr	4938	0.838	2013	08
m	Rr	5623	0.954	2013	07
m	Rr	5492	0.932	2013	06
m	Rr	5211	0.884	2013	05
m	Rr	5842	0.991	2013	04
m	Rr	6068	1.030	2013	03
m	Rr	5055	0.858	2013	02
m	Rr	5853	0.993	2013	01
m	Rr	5688	0.965	2012	12
m	Rr	5477	0.929	2012	11
m	Rr	5413	0.918	2012	10
m	Rr	4331	0.735	2012	09
m	Rr	3866	0.656	2012	08
m	Rr	4314	0.732	2012	07
m	Rr	4655	0.790	2012	06
m	Rr	6047	1.026	2012	05
m	Rr	5114	0.868	2012	04
m	Rr	6128	1.040	2012	03
m	Rr	5430	0.921	2012	02
m	Rr	4279	0.726	2012	01
m	Rr	5548	0.941	2011	12
m	Rr	4779	0.811	2011	11
m	Rr	5117	0.868	2011	10
m	Rr	5431	0.922	2011	09
m	Rr	6256	1.061	2011	08
m	Rr	5699	0.967	2011	07
m	Rr	5420	0.920	2011	06
m	Rr	3975	0.674	2011	05
m	Rr	0	0.000	2011	04
m	Rr	3608	0.612	2011	03
m	Rr	5171	0.877	2011	02
